catalog_number,name,channel,season,role,n_scored_rows,n_with_prior_season,coverage_share
87,prev_season_anchor,fg3,2022,train_inner,2915,2189,0.7509
87,prev_season_anchor,fg3,2023,train_inner,3255,2441,0.7499
87,prev_season_anchor,fg3,2024,validation,3261,2484,0.7617
87,prev_season_anchor,paint,2022,train_inner,2915,2189,0.7509
87,prev_season_anchor,paint,2023,train_inner,3255,2441,0.7499
87,prev_season_anchor,paint,2024,validation,3261,2484,0.7617
87,prev_season_anchor,ft,2022,train_inner,2915,2189,0.7509
87,prev_season_anchor,ft,2023,train_inner,3255,2441,0.7499
87,prev_season_anchor,ft,2024,validation,3261,2484,0.7617
87,prev_season_anchor,np2,2022,train_inner,2915,2189,0.7509
87,prev_season_anchor,np2,2023,train_inner,3255,2441,0.7499
87,prev_season_anchor,np2,2024,validation,3261,2484,0.7617
88,career_trajectory_slope,fg3,2022,train_inner,2915,0,0.0
88,career_trajectory_slope,fg3,2023,train_inner,3255,1952,0.5997
88,career_trajectory_slope,fg3,2024,validation,3261,1938,0.5943
88,career_trajectory_slope,paint,2022,train_inner,2915,0,0.0
88,career_trajectory_slope,paint,2023,train_inner,3255,1952,0.5997
88,career_trajectory_slope,paint,2024,validation,3261,1938,0.5943
88,career_trajectory_slope,ft,2022,train_inner,2915,0,0.0
88,career_trajectory_slope,ft,2023,train_inner,3255,1952,0.5997
88,career_trajectory_slope,ft,2024,validation,3261,1938,0.5943
88,career_trajectory_slope,np2,2022,train_inner,2915,0,0.0
88,career_trajectory_slope,np2,2023,train_inner,3255,1952,0.5997
88,career_trajectory_slope,np2,2024,validation,3261,1938,0.5943
92,two_season_blend,fg3,2022,train_inner,2915,2189,0.7509
92,two_season_blend,fg3,2023,train_inner,3255,2441,0.7499
92,two_season_blend,fg3,2024,validation,3261,2484,0.7617
92,two_season_blend,paint,2022,train_inner,2915,2189,0.7509
92,two_season_blend,paint,2023,train_inner,3255,2441,0.7499
92,two_season_blend,paint,2024,validation,3261,2484,0.7617
92,two_season_blend,ft,2022,train_inner,2915,2189,0.7509
92,two_season_blend,ft,2023,train_inner,3255,2441,0.7499
92,two_season_blend,ft,2024,validation,3261,2484,0.7617
92,two_season_blend,np2,2022,train_inner,2915,2189,0.7509
92,two_season_blend,np2,2023,train_inner,3255,2441,0.7499
92,two_season_blend,np2,2024,validation,3261,2484,0.7617
