catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives,delta_mae_min15,sign_min15
87,prev_season_anchor,I,fg3,,6170,3261,0.2457,3.38832,3.35611,-0.03222,0.03222,0.95132,-0.02471;-0.01763;-0.01185,---,-,True,0.00498,False,,0.00747,True,True,-0.03316,-
92,two_season_blend,I,fg3,0.9,6170,3261,0.2457,3.38832,3.3594,-0.02893,0.02893,0.97591,-0.02240;-0.01610;-0.01023,---,-,True,0.00498,False,,0.00747,True,True,-0.02955,-
87,prev_season_anchor,I,np2,,6170,3261,0.2457,1.62461,1.60493,-0.01968,0.01968,0.46784,-0.00740;-0.01986;-0.04270,---,-,True,0.00498,False,,0.00747,True,True,-0.01758,-
92,two_season_blend,I,np2,0.9,6170,3261,0.2457,1.62461,1.60495,-0.01966,0.01966,0.49137,-0.00681;-0.01932;-0.04249,---,-,True,0.00498,False,,0.00747,True,True,-0.01726,-
87,prev_season_anchor,I,paint,,6170,3261,0.2457,3.48248,3.46812,-0.01436,0.01436,1.17186,-0.00987;-0.04046;-0.01100,---,-,True,0.00498,False,,0.00747,True,True,-0.02071,-
92,two_season_blend,I,paint,0.9,6170,3261,0.2457,3.48248,3.46907,-0.01341,0.01341,1.17918,-0.00831;-0.03634;-0.00840,---,-,True,0.00498,False,,0.00747,True,True,-0.0194,-
