catalog_number,name,channel,w_frozen,beta_feature_std,beta_indicator_std,indicator_in_model,coverage_train_2022_23,coverage_val_2024,inner_fold_fit_coverage,inner_fold_val_coverage,inner_fold_degenerate
87,prev_season_anchor,fg3,,0.95132,-0.31918,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
87,prev_season_anchor,paint,,1.17186,-0.74499,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
87,prev_season_anchor,ft,,0.59386,-0.31897,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
87,prev_season_anchor,np2,,0.46784,-0.15525,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
88,career_trajectory_slope,fg3,,0.04838,0.09155,True,0.3164,0.5943,0.0000;0.0151;0.2100,0.0282;0.5967;0.5978,Y;n;n
88,career_trajectory_slope,paint,,0.05069,-0.01595,True,0.3164,0.5943,0.0000;0.0151;0.2100,0.0282;0.5967;0.5978,Y;n;n
88,career_trajectory_slope,ft,,0.00724,0.05267,True,0.3164,0.5943,0.0000;0.0151;0.2100,0.0282;0.5967;0.5978,Y;n;n
88,career_trajectory_slope,np2,,0.01225,0.03135,True,0.3164,0.5943,0.0000;0.0151;0.2100,0.0282;0.5967;0.5978,Y;n;n
92,two_season_blend,fg3,0.9,0.97591,-0.33295,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
92,two_season_blend,paint,0.9,1.17918,-0.75418,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
92,two_season_blend,ft,0.9,0.63607,-0.34788,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
92,two_season_blend,np2,0.9,0.49137,-0.16843,True,0.7504,0.7617,0.7572;0.7531;0.7547,0.7495;0.7580;0.7389,n;n;n
