catalog_number,name,channel,alpha_chosen,delta_mae_min15,p_value_min15,sign_min15,agrees_with_primary
87,prev_season_anchor,fg3,,-0.03316,0.00498,-,True
87,prev_season_anchor,paint,,-0.02071,0.00498,-,True
87,prev_season_anchor,ft,,-0.01356,0.00498,-,True
87,prev_season_anchor,np2,,-0.01758,0.00498,-,True
88,career_trajectory_slope,fg3,,0.00627,0.69652,+,True
88,career_trajectory_slope,paint,,-0.00133,0.24378,-,True
88,career_trajectory_slope,ft,,0.00431,0.93035,+,True
88,career_trajectory_slope,np2,,0.00198,0.72637,+,True
92,two_season_blend,fg3,0.9,-0.02955,0.00498,-,True
92,two_season_blend,paint,0.9,-0.0194,0.00498,-,True
92,two_season_blend,ft,0.9,-0.01243,0.00498,-,True
92,two_season_blend,np2,0.9,-0.01726,0.00498,-,True
