channel,alpha,inner_mae
fg3,0.05,3.210838513626568
fg3,0.1,3.226010339972362
fg3,0.15,3.247858446751733
fg3,0.2,3.2740402412581395
fg3,0.25,3.302063335098724
fg3,0.3,3.332894406419516
fg3,0.35,3.365842273317959
fg3,0.4,3.4002024722876403
fg3,0.45,3.4359469334089923
fg3,0.5,3.474060692986597
paint,0.05,3.5859780868499613
paint,0.1,3.598853328663575
paint,0.15,3.620987597238186
paint,0.2,3.6499359093047965
paint,0.25,3.6845273383014088
paint,0.3,3.724096400565317
paint,0.35,3.7672759119949646
paint,0.4,3.813777347304209
paint,0.45,3.863164704791576
paint,0.5,3.916287087094474
ft,0.05,2.059558752312614
ft,0.1,2.0667208494045703
ft,0.15,2.078504276106762
ft,0.2,2.0931254127652537
ft,0.25,2.1105494396581914
ft,0.3,2.130823794517451
ft,0.35,2.152338170468744
ft,0.4,2.1751990062072366
ft,0.45,2.1996892316721857
ft,0.5,2.2256224308438566
np2,0.05,1.6537736314557412
np2,0.1,1.6534951043310773
np2,0.15,1.6574550608477978
np2,0.2,1.6641061589224326
np2,0.25,1.6725166003086118
np2,0.3,1.6825569844998516
np2,0.35,1.69341430081728
np2,0.4,1.7054144912731524
np2,0.45,1.718383134256953
np2,0.5,1.7321650687126058
