poll_ts,game_id,obligation_type,label,endpoint,http_status,credits_used,credits_remaining,credits_last,n_rows_written,n_rows_rejected,error
2026-08-07T00:42:05.137220+00:00,1022600231,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36269,63731,3,0,0,
2026-08-07T00:42:05.137220+00:00,1022600231,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0c6ed7c2d9458b686d96eafc98f9d07d/odds,200,36273,63727,4,168,0,
2026-08-07T00:52:04.210258+00:00,1022600232,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36276,63724,3,0,0,
2026-08-07T00:52:04.210258+00:00,1022600232,ladder,T-60m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/2036e6c92c8c4e14b2b4727f482e74a9/odds,200,36280,63720,4,156,0,
2026-08-07T01:02:04.023379+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36286,63714,3,0,0,
2026-08-07T01:02:04.023379+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36290,63710,4,151,0,
2026-08-07T01:12:03.907704+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36293,63707,3,0,0,
2026-08-07T01:12:03.907704+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36297,63703,4,151,0,
2026-08-07T01:22:05.722530+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36300,63700,3,0,0,
2026-08-07T01:22:05.722530+00:00,nan,ladder,T-24h,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36304,63696,4,151,0,
2026-08-07T01:42:03.885243+00:00,1022600232,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36323,63677,3,0,0,
2026-08-07T01:42:03.885243+00:00,1022600232,ladder,T-15m,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/2036e6c92c8c4e14b2b4727f482e74a9/odds,200,36327,63673,4,157,0,
2026-08-07T14:03:04.828587+00:00,M26-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,verify,M26_DEFECT1_LIVE_VERIFICATION,https://api.the-odds-api.com/v4/sports/basketball_wnba/odds,200,36339,63661,3,66,0,
2026-08-07T14:03:04.923875+00:00,M26-VERIFY-0cc93c06f67e3eeac12f320fbf0a5d2f,verify,M26_DEFECT1_LIVE_VERIFICATION,https://api.the-odds-api.com/v4/sports/basketball_wnba/events/0cc93c06f67e3eeac12f320fbf0a5d2f/odds,200,36343,63657,4,190,0,
