draw,seed,n_clusters_drawn,n_rows_drawn,mean_target
0,20260804,1491,2982,79.25567479
1,20260804,1491,2982,79.27352262
2,20260804,1491,2982,79.37738282
3,20260804,1491,2982,79.19251807
4,20260804,1491,2982,79.26036217
5,20260804,1491,2982,79.18520754
6,20260804,1491,2982,79.35864819
7,20260804,1491,2982,79.22983829
8,20260804,1491,2982,79.23340040
9,20260804,1491,2982,79.34698562
10,20260804,1491,2982,79.27574335
11,20260804,1491,2982,79.55401297
12,20260804,1491,2982,79.33328117
13,20260804,1491,2982,79.38937328
14,20260804,1491,2982,79.22045607
15,20260804,1491,2982,79.20418064
16,20260804,1491,2982,79.44366942
17,20260804,1491,2982,79.31233326
18,20260804,1491,2982,79.41766898
19,20260804,1491,2982,79.34428795
20,20260804,1491,2982,79.29260004
21,20260804,1491,2982,79.26323869
22,20260804,1491,2982,79.39853193
23,20260804,1491,2982,79.22568746
24,20260804,1491,2982,79.22755794
25,20260804,1491,2982,79.33878083
26,20260804,1491,2982,79.21969595
27,20260804,1491,2982,79.14981742
28,20260804,1491,2982,79.20643118
29,20260804,1491,2982,79.18809896
30,20260804,1491,2982,79.21288472
31,20260804,1491,2982,79.17559431
32,20260804,1491,2982,79.29308443
33,20260804,1491,2982,79.31407705
34,20260804,1491,2982,79.15311871
35,20260804,1491,2982,79.47695804
36,20260804,1491,2982,79.19347194
37,20260804,1491,2982,79.20197481
38,20260804,1491,2982,79.42404054
39,20260804,1491,2982,79.29548402
40,20260804,1491,2982,79.27563157
41,20260804,1491,2982,79.32712572
42,20260804,1491,2982,79.14717192
43,20260804,1491,2982,79.24995901
44,20260804,1491,2982,79.46158432
45,20260804,1491,2982,79.39536478
46,20260804,1491,2982,79.27958864
47,20260804,1491,2982,79.38579626
48,20260804,1491,2982,79.30996348
49,20260804,1491,2982,79.27198003
50,20260804,1491,2982,79.41059691
51,20260804,1491,2982,79.36016097
52,20260804,1491,2982,79.14030852
53,20260804,1491,2982,79.24343096
54,20260804,1491,2982,79.14777554
55,20260804,1491,2982,79.45073403
56,20260804,1491,2982,79.26735971
57,20260804,1491,2982,79.30470229
58,20260804,1491,2982,79.35925926
59,20260804,1491,2982,79.29945600
60,20260804,1491,2982,79.30541024
61,20260804,1491,2982,79.33072509
62,20260804,1491,2982,79.22770698
63,20260804,1491,2982,79.32059021
64,20260804,1491,2982,79.22586631
65,20260804,1491,2982,79.25805202
66,20260804,1491,2982,79.18739846
67,20260804,1491,2982,79.20893509
68,20260804,1491,2982,79.38894851
69,20260804,1491,2982,79.22337730
70,20260804,1491,2982,79.22288546
71,20260804,1491,2982,79.35275356
72,20260804,1491,2982,79.18704822
73,20260804,1491,2982,79.35890901
74,20260804,1491,2982,79.15674789
75,20260804,1491,2982,79.20689321
76,20260804,1491,2982,79.32642522
77,20260804,1491,2982,79.21909978
78,20260804,1491,2982,79.11093971
79,20260804,1491,2982,79.43844549
80,20260804,1491,2982,79.26417766
81,20260804,1491,2982,79.14808108
82,20260804,1491,2982,79.39784634
83,20260804,1491,2982,79.27016171
84,20260804,1491,2982,79.22064982
85,20260804,1491,2982,79.43959311
86,20260804,1491,2982,79.04729115
87,20260804,1491,2982,79.37677919
88,20260804,1491,2982,79.24366942
89,20260804,1491,2982,79.25053283
90,20260804,1491,2982,79.22408525
91,20260804,1491,2982,79.32483046
92,20260804,1491,2982,79.16747150
