rank,player_id,player_name,team_id,team_abbreviation,absent_game_opponent_abbreviation,absent_game_team_is_home,prior_game_id,prior_game_date,absent_game_id,absent_game_date,absent_season,absent_season_type,dnp_reason,minutes_ewma_at_prior_game,prior_game_minutes,prior_game_team_total_minutes,team_minutes_share_prior_game
1,1629481,Arike Ogunbowale,1611661321,DAL,MIN,False,1022400076,2024-06-15,1022400081,2024-06-17,2024,Regular Season,DND - Injury/Illness,38.633,34.667,200.033,0.1733
2,1629483,Napheesa Collier,1611661324,MIN,PHX,False,1022500029,2025-05-27,1022500038,2025-05-30,2025,Regular Season,DND - Injury/Illness,37.144,36.65,200.0,0.1832
3,203825,Kayla McBride,1611661324,MIN,LAS,False,1042400305,2024-10-20,1022500008,2025-05-18,2025,Regular Season,NWT - Personal,36.939,42.917,225.0,0.1907
4,1642785,Sonia Citron,1611661322,WAS,ATL,True,1022600142,2026-06-28,1022600145,2026-07-02,2026,Regular Season,DNP - Coach's Decision,36.809,52.55,300.0,0.1752
5,204319,Jewell Loyd,1611661328,SEA,WAS,True,1022300037,2023-06-06,1022300045,2023-06-09,2023,Regular Season,DND - Injury/Illness,36.065,37.917,200.0,0.1896
6,1641652,Maddy Siegrist,1611661321,DAL,CHI,False,1022400081,2024-06-17,1022400087,2024-06-20,2024,Regular Season,NWT - Injury/Illness,35.584,40.0,200.0,0.2
7,1629483,Napheesa Collier,1611661324,MIN,LAS,True,1022400230,2024-09-17,1022400238,2024-09-19,2024,Regular Season,DND - Injury/Illness,35.566,38.983,200.0,0.1949
8,203833,Chelsea Gray,1611661319,LVA,NYL,False,1042300303,2023-10-15,1042300304,2023-10-18,2023,Playoffs,DND - Injury/Illness,35.41,34.267,200.0,0.1713
9,1642286,Caitlin Clark,1611661325,IND,WAS,False,1022500021,2025-05-24,1022500032,2025-05-28,2025,Regular Season,DND - Injury/Illness,35.322,37.867,200.0,0.1893
10,1628932,A'ja Wilson,1611661319,LVA,NYL,False,1022400203,2024-09-06,1022400209,2024-09-08,2024,Regular Season,DND - Injury/Illness,35.211,36.933,200.0,0.1847
11,1629481,Arike Ogunbowale,1611661321,DAL,PHX,False,1022500103,2025-06-28,1022500120,2025-07-07,2025,Regular Season,DND - Injury/Illness,34.883,33.667,200.0,0.1683
12,1627668,Breanna Stewart,1611661313,NYL,CHI,False,1022400133,2024-07-11,1022400137,2024-07-13,2024,Regular Season,DND - Injury/Illness,34.845,32.35,200.0,0.1618
13,203826,Alyssa Thomas,1611661317,PHX,MIN,True,1022500031,2025-05-27,1022500038,2025-05-30,2025,Regular Season,DND - Injury/Illness,34.737,34.65,200.0,0.1732
14,204333,Natasha Cloud,1611661317,PHO,ATL,True,1022400194,2024-09-01,1022400198,2024-09-03,2024,Regular Season,NWT - Not With Team,34.707,37.5,200.017,0.1875
15,1628276,Kelsey Plum,1611661320,LAS,CON,False,1022600043,2026-05-23,1022600061,2026-05-30,2026,Regular Season,NWT - Injury/Illness,34.7,36.983,200.0,0.1849
16,203827,Natasha Howard,1611661321,DAL,PHX,False,1022400005,2024-05-15,1022400029,2024-05-25,2024,Regular Season,NWT - Not With Team,34.367,36.333,200.0,0.1817
