catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives,null_improvement_q05,null_improvement_q50,null_improvement_q95,null_improvement_max,observed_improvement
61,shot_diet_xpts,F,fg3,0.05,8687,3261,0.0,3.38333,3.36872,-0.01461,0.01461,-0.09815,-0.00816;-0.00874;-0.01419,---,-,True,0.00498,False,,0.042496,True,True,-0.003524393044433127,-0.00014253191906621332,0.0023327731708120835,0.00457111882278749,0.014608414671642311
69,midrange_reliance,F,np2,0.15,8687,3261,0.0,1.61362,1.59904,-0.01458,0.01458,0.33615,-0.02391;-0.00626;-0.01966,---,-,True,0.00498,False,,0.042496,True,True,-0.0035548783689794195,0.00037067816947544685,0.004134613246458651,0.005469665931945533,0.014581220586528776
44,self_creation_index,D,fg3,0.2,8687,3261,0.0,3.38333,3.36945,-0.01388,0.01388,0.12513,-0.00144;-0.00383;-0.00614,---,-,True,0.00498,False,,0.042496,True,True,-0.005759150920930844,0.00011400505435776864,0.0045072501692193755,0.011656493869988349,0.01388317150374263
65,early_clock_share,F,fg3,0.05,8687,3261,0.0,3.38333,3.3718,-0.01153,0.01153,-0.28144,-0.01684;-0.02129;-0.01210,---,-,True,0.00498,False,,0.042496,True,True,-0.0013185955685294458,-3.381492502807504e-05,0.0011720289530836587,0.004340628587963913,0.011527851381948118
60,second_unit_anchor,E,np2,,8687,3261,0.0,1.61362,1.60456,-0.00906,0.00906,-0.09179,-0.00612;-0.00249;-0.00886,---,-,True,0.00498,False,,0.042496,True,True,-0.0008869686270450927,-5.412279643901563e-06,0.0010586488274044064,0.0014239498433219477,0.009056606087061603
44,self_creation_index,D,np2,0.05,8687,3261,0.0,1.61362,1.60514,-0.00847,0.00847,0.08233,-0.00848;-0.01047;-0.00499,---,-,True,0.00498,False,,0.042496,True,True,-0.003020066864790305,0.0006157578551709841,0.003219429990282784,0.0065599821066557595,0.008471515810213326
55,closing_lineup_membership,E,np2,,8687,3261,0.0,1.61362,1.60553,-0.00808,0.00808,0.08315,-0.00593;-0.00113;-0.00341,---,-,True,0.00498,False,,0.042496,True,True,-0.0010248637461951035,-5.6663832064263175e-06,0.0008088585623857169,0.001534688302871512,0.00808346466714105
62,zone_mix_drift,F,np2,,8687,3261,0.0,1.61362,1.60832,-0.0053,0.0053,-0.07248,-0.00269;-0.00413;-0.00729,---,-,True,0.00498,False,,0.042496,True,True,-0.0012009430466524806,-1.7970915116016783e-05,0.0013013045893355826,0.0021773795205073387,0.005299797241043347
55,closing_lineup_membership,E,ft,,8687,3261,0.0,2.00339,1.99895,-0.00444,0.00444,0.11701,-0.00296;-0.00309;-0.00546,---,-,True,0.00498,False,,0.042496,True,True,-0.0008522004011280559,-3.250358773465578e-06,0.0008456221371477612,0.0014296245920664141,0.004443364861671295
60,second_unit_anchor,E,ft,,8687,3261,0.0,2.00339,1.99911,-0.00428,0.00428,-0.07436,-0.00135;-0.00180;-0.00589,---,-,True,0.00498,False,,0.042496,True,True,-0.001441937142651084,-5.360513319629945e-05,0.0008508644883962631,0.001705580527440187,0.004277469508733089
45,garbage_cleaned_rates,D,ft,0.05,8687,3261,0.0,2.00339,2.00024,-0.00315,0.00315,0.34466,-0.00290;-0.00343;-0.00163,---,-,True,0.00498,False,,0.042496,True,True,-0.001098520036226902,-3.2572957953114212e-06,0.0006139250424152194,0.001565491607100622,0.003145107081272247
58,stint_pm_stability,E,np2,,8687,3261,0.0,1.61362,1.61068,-0.00294,0.00294,-0.06841,-0.00171;-0.00259;-0.00636,---,-,True,0.00498,False,,0.042496,True,True,-0.0011843341753705937,-3.6614380377497646e-05,0.000668245924121246,0.0016111799702924756,0.002938681760090711
16,opp_pace_tercile_profile,B,fg3,,8687,3261,0.0,3.38333,3.38047,-0.00286,0.00286,-0.13318,-0.00095;-0.00339;-0.00237,---,-,True,0.00498,False,personal shrunken surprise in opp pace tercile (possessions data),0.042496,True,True,-0.001330734678945067,-2.85975793690163e-06,0.0012179377660616495,0.0026265789434360975,0.0028626284486636955
74,star_whistle_proxy,G,ft,0.05,8687,3261,0.0,2.00339,2.00112,-0.00226,0.00226,0.0987,-0.00336;-0.00469;-0.00114,---,-,True,0.00498,False,,0.042496,True,True,-0.00037507367690141623,-2.250129154779401e-06,0.00036607975141784695,0.000966294006271351,0.0022643281082244116
87,prev_season_anchor,I,fg3,,8687,3261,0.4046,3.38333,3.32987,-0.05346,0.05346,0.46142,+0.00000;-0.06544;-0.04563,+--,-,False,0.00498,False,,0.042496,True,False,-0.001699103061302809,-1.0231276342809181e-05,0.0012487794952403802,0.003762158184094311,0.053459923880369686
92,two_season_blend,I,fg3,0.9,8687,3261,0.4046,3.38333,3.33316,-0.05018,0.05018,0.44871,+0.00000;-0.06179;-0.04344,+--,-,False,0.00498,False,,0.042496,True,False,-0.002251357066383486,-5.0740269530225035e-05,0.0014043951815638112,0.002465441895141307,0.05017597138866359
87,prev_season_anchor,I,np2,,8687,3261,0.4046,1.61362,1.58428,-0.02933,0.02933,0.22217,+0.00000;-0.02117;-0.02999,+--,-,False,0.00498,False,,0.042496,True,False,-0.003810038079476308,0.00033617645969663545,0.004753665865983446,0.007657124715339858,0.029333104488294737
92,two_season_blend,I,np2,0.9,8687,3261,0.4046,1.61362,1.58477,-0.02884,0.02884,0.21634,+0.00000;-0.01959;-0.02830,+--,-,False,0.00498,False,,0.042496,True,False,-0.0035316278833713685,0.0003920441182734269,0.003989821621368848,0.006281314763410428,0.028842095752843466
87,prev_season_anchor,I,ft,,8687,3261,0.4046,2.00339,1.98199,-0.0214,0.0214,0.31452,+0.00000;-0.03947;-0.01524,+--,-,False,0.00498,False,,0.042496,True,False,-0.001259397344682478,-4.1525009171872185e-05,0.0009884953205061987,0.002145475222641746,0.02140172177039723
87,prev_season_anchor,I,paint,,8687,3261,0.4046,3.47994,3.45893,-0.021,0.021,0.54926,+0.00000;-0.03141;-0.02624,+--,-,False,0.00498,False,,0.042496,True,False,-0.0025419348600592027,-6.242294164504614e-05,0.0016938996323811572,0.003505256721697325,0.02100258292031265
