component,target_delta,beta,scheme,nrep,ndraw,realised_planted_dr2,power,se_power,median_p,injection_null_mean,verdict_null_mean,null_centre_ratio,is_type_I
BETWEEN_opp_team_season,0.0,0.0,N_ESWAP,250,250,-0.0003825854454809422,0.048,0.01351976331153767,0.5,-0.00041990538778852594,-0.0004075448565457754,1.0303292534409945,True
BETWEEN_opp_team_season,0.0,0.0,N_BLIND,250,250,-0.0002884421960651968,0.008,0.005634181395730883,0.46613545816733065,-0.0003368575734581952,0.008322227545838754,-0.0404768520931189,True
BETWEEN_opp_team_season,0.0005,0.001147997792270286,N_ESWAP,250,250,7.461623129852046e-05,0.212,0.02585002901352337,0.3386454183266932,-0.0004334323279060904,-0.0004075448565457754,1.0635205449032756,False
BETWEEN_opp_team_season,0.0005,0.001147997792270286,N_BLIND,250,250,0.0001805100408121719,0.024,0.009679669415842671,0.4262948207171315,7.689255414129597e-05,0.008322227545838754,0.009239419820928048,False
BETWEEN_opp_team_season,0.001,0.0016235140474030094,N_ESWAP,250,250,0.0005279170667603561,0.372,0.030569003909188798,0.13745019920318724,-0.00044786747898733207,-0.0004075448565457754,1.0989403296199558,False
BETWEEN_opp_team_season,0.001,0.0016235140474030094,N_BLIND,250,250,0.0006390494801769975,0.056,0.014541526742402257,0.41434262948207173,0.00048811250015594364,0.008322227545838754,0.05865166476972955,False
BETWEEN_opp_team_season,0.002,0.002295995584540572,N_ESWAP,250,250,0.0014316387625379133,0.524,0.0315863261554743,0.0398406374501992,-0.00047707266196786804,-0.0004075448565457754,1.1706016020209133,False
BETWEEN_opp_team_season,0.002,0.002295995584540572,N_BLIND,250,250,0.0015505326208743217,0.076,0.01675995226723513,0.3784860557768924,0.0013083472279760658,0.008322227545838754,0.15721118183439484,False
BETWEEN_opp_team_season,0.004,0.003247028094806019,N_ESWAP,250,250,0.003231332661515398,0.712,0.02863955306913849,0.00796812749003984,-0.0005358352477212884,-0.0004075448565457754,1.3147883947373615,False
BETWEEN_opp_team_season,0.004,0.003247028094806019,N_BLIND,250,250,0.0033618710032372314,0.096,0.018631586083852337,0.33864541832669326,0.002942339598776122,0.008322227545838754,0.3535519285635657,False
BETWEEN_opp_team_season,0.008,0.004591991169081144,N_ESWAP,250,250,0.006805364754182036,0.868,0.021408035874409405,0.00398406374501992,-0.0006533809919245689,-0.0004075448565457754,1.6032124597582333,False
BETWEEN_opp_team_season,0.008,0.004591991169081144,N_BLIND,250,250,0.006953589496212074,0.144,0.022204864331943124,0.2649402390438247,0.0061880265836298225,0.008322227545838754,0.743554120521967,False
WITHIN_opp_team_season,0.0,0.0,N_ESWAP,250,250,-0.0003825854454809422,0.048,0.01351976331153767,0.5,-0.00041990538778852594,-0.0004075448565457754,1.0303292534409945,True
WITHIN_opp_team_season,0.0,0.0,N_BLIND,250,250,-0.0002884421960651968,0.008,0.005634181395730883,0.46613545816733065,-0.0003368575734581952,0.008322227545838754,-0.0404768520931189,True
WITHIN_opp_team_season,0.0005,0.0030884360498963574,N_ESWAP,250,250,-0.000356709855735541,0.056,0.014541526742402257,0.4860557768924303,-0.0004058832464864728,-0.0004075448565457754,0.9959228781013557,False
WITHIN_opp_team_season,0.0005,0.0030884360498963574,N_BLIND,250,250,-0.00026577659548165233,0.132,0.021408035874409405,0.5418326693227091,-0.0003323396632479102,0.008322227545838754,-0.03993397938441197,False
WITHIN_opp_team_season,0.001,0.0043677081482854175,N_ESWAP,250,250,-0.00032636745660840103,0.076,0.01675995226723513,0.4820717131474104,-0.0003997960835953118,-0.0004075448565457754,0.9809866991914955,False
WITHIN_opp_team_season,0.001,0.0043677081482854175,N_BLIND,250,250,-0.00023677708339089169,0.236,0.026855464993181557,0.5358565737051793,-0.0003310085223574245,0.008322227545838754,-0.0397740293129733,False
WITHIN_opp_team_season,0.002,0.006176872099792715,N_ESWAP,250,250,-0.0002639055362401081,0.108,0.01963018084481139,0.4860557768924303,-0.00039091767355174954,-0.0004075448565457754,0.9592015879308287,False
WITHIN_opp_team_season,0.002,0.006176872099792715,N_BLIND,250,250,-0.0001762276807741876,0.34,0.029959973297718406,0.5239043824701195,-0.00032966726701320843,0.008322227545838754,-0.03961286388739122,False
WITHIN_opp_team_season,0.004,0.008735416296570835,N_ESWAP,250,250,-0.0001367036556421087,0.136,0.021679852398021532,0.3884462151394422,-0.0003778400435321361,-0.0004075448565457754,0.9271127765777536,False
WITHIN_opp_team_season,0.004,0.008735416296570835,N_BLIND,250,250,-5.175749380840415e-05,0.408,0.031082857011542554,0.450199203187251,-0.0003288520058001467,0.008322227545838754,-0.03951490198854007,False
WITHIN_opp_team_season,0.008,0.01235374419958543,N_ESWAP,250,250,0.00011995802388244259,0.244,0.02716350492848815,0.2250996015936255,-0.0003583569540782772,-0.0004075448565457754,0.8793067764751107,False
WITHIN_opp_team_season,0.008,0.01235374419958543,N_BLIND,250,250,0.0002009865516600885,0.444,0.03142381262673261,0.2450199203187251,-0.0003298510188379874,0.008322227545838754,-0.03963494353178533,False
