response,window,base,arm,signed_dr2,p_per_cell,p_familywise_maxt,null_mean,null_sd,vs_floor_single,vs_floor_132
y_ppm,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,0.010337911204223043,0.0004997501249375312,0.0004997501249375312,-0.0004402809352530629,0.0011375375990770405,10.135207062963767,4.3991111507332095
y_ppm,CLEAN_2023_24,B0_COMPLETE,FROZEN,0.01016239402745404,0.0004997501249375312,0.0004997501249375312,-0.00043687045469849295,0.0011335497218677537,9.963131399464745,4.324422990405974
y_ppm,CLEAN_2023_24,B1_HONEST,UNFROZEN,0.009397775953178707,0.0004997501249375312,0.0004997501249375312,-0.00040826751298714373,0.0010445959591743733,9.21350583644971,3.9990535970973218
y_ppm,CLEAN_2023_24,B1_HONEST,FROZEN,0.008907938473175054,0.0004997501249375312,0.0004997501249375312,-0.00037427367398581713,0.0009907939085417158,8.733273012916719,3.7906121162447035
y_ppm,CLEAN_2023_24,B2_FAMILY,UNFROZEN,0.004424266311780921,0.0004997501249375312,0.0009995002498750624,-0.0003983484506721399,0.0008563753075395774,4.337515991942079,1.8826665156514557
y_ppm,CLEAN_2023_24,B2_FAMILY,FROZEN,0.0027034564606610604,0.0009995002498750624,0.008995502248875561,-0.00028938545839988285,0.0007131491520264764,2.65044751045202,1.1504070045366215
y_pts,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,0.005323438214633735,0.0004997501249375312,0.0004997501249375312,-0.0002562074263640041,0.0008014270025790871,5.219057073170328,2.265292857290951
y_pts,CLEAN_2023_24,B0_COMPLETE,FROZEN,0.00526011956518838,0.0004997501249375312,0.0004997501249375312,-0.00025720776405315746,0.0007998842855414793,5.156979965870961,2.2383487511439917
y_pts,CLEAN_2023_24,B1_HONEST,UNFROZEN,0.004520751537274385,0.0004997501249375312,0.0009995002498750624,-0.0002649861505701497,0.0007791660853243659,4.4321093502690045,1.9237240584146318
y_pts,CLEAN_2023_24,B1_HONEST,FROZEN,0.004615680387169523,0.0004997501249375312,0.0009995002498750624,-0.0002444984045927944,0.0007509865721697366,4.525176850166198,1.9641193136891584
y_pts,CLEAN_2023_24,B2_FAMILY,UNFROZEN,0.0023838285871515623,0.0009995002498750624,0.01199400299850075,-0.00031809376940666867,0.0007703083282703987,2.3370868501485904,1.01439514346875
y_pts,CLEAN_2023_24,B2_FAMILY,FROZEN,0.0016644462527285642,0.005497251374312844,0.0399800099950025,-0.0002308074263698693,0.000651776076024245,1.6318100516946707,0.7082750011610911
