response,eval_season,arm,n,n_train,signed_dr2,beta,noise_control_dr2,clean_window,n_blocks
y_ppm,2022,UNFROZEN,1350,1156,0.004449255574283825,0.0024551096320468316,-0.000583641661259872,False,12
y_ppm,2022,FROZEN,1350,1156,0.004023645699561088,0.0023427274748437196,-0.0010889078725928242,False,12
y_ppm,2023,UNFROZEN,1596,2506,0.004050158153669533,0.003065432557278466,-0.0003063749353163135,True,12
y_ppm,2023,FROZEN,1596,2506,0.0031770527797408315,0.002862182014822377,-0.00027450662722421017,True,12
y_ppm,2024,UNFROZEN,1571,4102,0.015482196653905865,0.0032380497003782044,0.0007751183930488952,True,12
y_ppm,2024,FROZEN,1571,4102,0.015427506927756802,0.0031768541770614027,0.0008094278337339652,True,12
y_pts,2022,UNFROZEN,1350,1156,0.0011338566942774744,0.02560771922016415,0.00019502689440153867,False,12
y_pts,2022,FROZEN,1350,1156,0.0009240642155577086,0.024435530944417506,-7.532121722586575e-07,False,12
y_pts,2023,UNFROZEN,1596,2506,0.0013966001519172492,0.052912644037498596,-0.0002452495637386139,True,12
y_pts,2023,FROZEN,1596,2506,0.001513621595646561,0.049404322323636035,-0.0002545634293168075,True,12
y_pts,2024,UNFROZEN,1571,4102,0.008008631363488287,0.06066154669945605,0.0006656066348620814,True,12
y_pts,2024,FROZEN,1571,4102,0.008078927269194583,0.059515111209226625,0.000651857741472221,True,12
