population,n_rows,n_players,n_games,n_dates,n_opp_team_seasons,n_seasons,pct_of_frame
ALL_ROWS,14852,247,827,313,48,4,100.0
DECISION,5673,149,708,270,48,4,38.19687584163749
DECISION_COMPLETE_CASE,5673,149,708,270,48,4,38.19687584163749
DECISION_CC_EVAL_2023_24,3167,113,390,143,24,2,21.32372744411527
DECISION_CC_EVAL_2022_disclosed,1350,83,170,64,12,1,9.089684890923781
DECISION_CC_TRAIN_le2022,2506,116,318,127,24,2,16.87314839752222
