a,b,n_a,n_b,intersection,union,jaccard,a_subset_of_b,b_subset_of_a
S1_D098,S2_D099,1505,4514,1505,4514,0.33340717766947275,True,False
S1_D098,S3_D103,1505,5670,1505,5670,0.2654320987654321,True,False
S1_D098,S4_D117,1505,14852,1505,14852,0.10133315378400215,True,False
S2_D099,S3_D103,4514,5670,4514,5670,0.7961199294532628,True,False
S2_D099,S4_D117,4514,14852,4514,14852,0.3039321303528144,True,False
S3_D103,S4_D117,5670,14852,5670,14852,0.38176676541879884,True,False
