probe,signed_dr2,share_of_observed,note
OBSERVED,0.009397775953178707,1.0,reference
P5_noop_identical_column,0.009397775953178707,1.0,MUST equal OBSERVED exactly
P1_league_mean_on_date,-0.00024048364754208578,-0.025589421235430124,date/level artefact probe
P2_within_date_demeaned,0.010134688520422904,1.0784135066547254,cross-sectional opponent info
P3_opp_season_mean_only,0.011036327890547804,1.1743552884781077,the between component (77.1%)
P4_within_opp_season_only,-0.0002521951624263295,-0.026835621926167213,the within component (22.9%)
