response,window,base,arm,candidate,is_negative_control,n,n_folds,n_blocks,signed_dr2,beta,rmse_base,rmse_aug,sst,vs_floor_single,vs_floor_132,vs_largest_live
y_ppm,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,A10_opp_defrtg,False,3167,2,24,0.010337911204223043,0.003559308713243928,0.19384510459728388,0.19248588896102328,160.86559838272288,10.135207062963767,4.3991111507332095,5.025722510560547
y_ppm,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,G01_noise,True,3167,2,24,0.00022961350166577247,-0.0030856252088071368,0.19384510459728388,0.19381501880813745,160.86559838272288,0.22511127614291418,0.09770787304926487,0.11162542618656902
y_ppm,CLEAN_2023_24,B0_COMPLETE,FROZEN,A10_opp_defrtg,False,3167,2,24,0.01016239402745404,0.0035503548768532098,0.19384510459728388,0.1925090458239146,160.86559838272288,9.963131399464745,4.324422990405974,4.940395735271776
y_ppm,CLEAN_2023_24,B0_COMPLETE,FROZEN,G01_noise,True,3167,2,24,0.0002662110951091553,-0.0030778493080973104,0.19384510459728388,0.19381022306853932,160.86559838272288,0.2609912697148581,0.11328131706772565,0.1294171585362933
y_ppm,CLEAN_2023_24,B0_COMPLETE,INTERCEPT_ONLY,A10_opp_defrtg,False,3167,2,24,3.030059388905238e-14,4.1853801341092295e-15,0.19384510459728388,0.1938451045972799,160.86559838272288,2.9706464597110175e-11,1.289386974002229e-11,1.473047831261662e-11
y_ppm,CLEAN_2023_24,B1_HONEST,UNFROZEN,A10_opp_defrtg,False,3167,2,24,0.009397775953178707,0.003151741128828335,0.1936299176924759,0.19239332479399376,160.86559838272288,9.21350583644971,3.9990535970973218,4.568680580057709
y_ppm,CLEAN_2023_24,B1_HONEST,UNFROZEN,G01_noise,True,3167,2,24,0.00019977741018620607,-0.003129386442814217,0.1936299176924759,0.19360371243526525,160.86559838272288,0.1958602060649079,0.08501166390902386,0.09712076333797087
y_ppm,CLEAN_2023_24,B1_HONEST,FROZEN,A10_opp_defrtg,False,3167,2,24,0.008907938473175054,0.0030195180959418895,0.1936299176924759,0.19245797563357803,160.86559838272288,8.733273012916719,3.7906121162447035,4.330548601446307
y_ppm,CLEAN_2023_24,B1_HONEST,FROZEN,G01_noise,True,3167,2,24,0.0002327760544120018,-0.003121100549566749,0.1936299176924759,0.1935993835867216,160.86559838272288,0.22821181805098215,0.09905364017531991,0.11316288498395811
y_ppm,CLEAN_2023_24,B1_HONEST,INTERCEPT_ONLY,A10_opp_defrtg,False,3167,2,24,1.784466462270723e-14,-2.5957143806323704e-13,0.1936299176924759,0.19362991769247356,160.86559838272288,1.7494769237948264e-11,7.593474307534992e-12,8.675092184106579e-12
y_ppm,CLEAN_2023_24,B2_FAMILY,UNFROZEN,A10_opp_defrtg,False,3167,2,24,0.004424266311780921,0.003568710921788085,0.192932194696437,0.19234891257768766,160.86559838272288,4.337515991942079,1.8826665156514557,2.1508343761696262
