band,n,sse_reduction_share_of_SST,share_of_total_gain
|dev| LOW  (nearest an average defence),1055,0.00015440825570650233,0.016430297601878373
|dev| MID,1056,0.0021812598432308914,0.2321038354285411
|dev| HIGH (most extreme defences),1056,0.007062107854241313,0.7514658669695805
