candidate,is_negative_control,base,window,n,sd_y_points,beta_on_ppm,sd_defence_centred,mean_minutes_estimate,points_moved_by_1sd,pct_of_response_sd,ceiling_1sd_form,ceiling_D084_form,DIAGNOSTIC_oracle,realised_signed_dr2_points,vs_floor_single,vs_floor_132,vs_largest_live
A10_opp_defrtg,False,B0_COMPLETE,CLEAN_2023_24,3167,7.741545271052051,0.0035593087132440634,4.623672495100689,30.606650878854857,0.5036960346801095,6.506401720126592,0.004233326334366628,0.004245857873223674,0.00811025491094913,0.0074904089382465434,4.162605758062425,1.8067480311590103,2.064102028791286
A10_opp_defrtg,False,B0_COMPLETE,DISCLOSED_2022,1350,7.166645538917222,0.00301608920329875,4.451655509441772,29.55734074074074,0.39685429912860154,5.537518173231162,0.003066410751886539,0.00312498367791199,0.0025674623181660998,0.002540094552059117,3.0637094881490095,1.329780288473187,1.5191947875119058
A10_opp_defrtg,False,B1_HONEST,CLEAN_2023_24,3167,7.741545271052051,0.0031517411288283855,4.623672495100689,30.606650878854857,0.4460190550546979,5.76136984850423,0.003319338253125365,0.0034422173757487668,0.0075988506628363525,0.006786545166677434,3.3747229174007516,1.464773351382454,1.673416322678059
A10_opp_defrtg,False,B1_HONEST,DISCLOSED_2022,1350,7.166645538917222,0.0024551096320470215,4.451655509441772,29.55734074074074,0.3230411127244737,4.507563698668438,0.0020318130497553486,0.001912546481637871,0.0016021914762156019,0.0015884623276891416,1.8750455702332067,0.8138495666544132,0.9297746629255572
A10_opp_defrtg,False,B2_FAMILY,CLEAN_2023_24,3167,7.741545271052051,0.003568710921788152,4.623672495100689,30.606650878854857,0.5050265894429686,6.52358891875778,0.0042557212380939305,0.0012232928915648067,0.004157622230842659,0.003287134902248831,1.1993067564360849,0.520550166623322,0.5946975651749182
A10_opp_defrtg,False,B2_FAMILY,DISCLOSED_2022,1350,7.166645538917222,0.0028201911377622483,4.451655509441772,29.55734074074074,0.37107820821785914,5.177850728109594,0.002681013816258506,0.0016599709669148266,0.0017402741006783229,0.0017393257142236855,1.6274225165831633,0.7063706242190751,0.8069863718594199
G01_noise,True,B0_COMPLETE,CLEAN_2023_24,3167,7.741545271052051,-0.0030856252088070756,1.0043144074027868,30.606650878854857,0.09484810896357482,1.2251831597270406,0.00015010737748787352,0.00015918520690144853,0.000283364269114462,0.00026558484763377114,0.15606392833475344,0.06773838591551001,0.07738707190153064
G01_noise,True,B0_COMPLETE,DISCLOSED_2022,1350,7.166645538917222,-0.007232177253481916,1.0014337096607462,29.55734074074074,0.21407040278640127,2.9870376820498405,0.0008922394113985683,0.0008971926979303959,0.00011436748457698227,-0.00025653780785888264,0.8796006842454861,0.38178412677889184,0.4361656285514808
G01_noise,True,B1_HONEST,CLEAN_2023_24,3167,7.741545271052051,-0.0031293864428140715,1.0043144074027868,30.606650878854857,0.09619327242659978,1.2425590635799177,0.0001543953026484602,0.00016460994081357336,0.00024980057419309314,0.00024094971069590164,0.16138229491526798,0.07004678332492484,0.08002427847038084
G01_noise,True,B1_HONEST,DISCLOSED_2022,1350,7.166645538917222,-0.0072220404296039,1.0014337096607462,29.55734074074074,0.2137703556644233,2.9828509656795577,0.000889739988345547,0.0008949854869602212,0.0001350355974736207,-0.00019970166013295255,0.8774367519217855,0.38084488806817923,0.43509260425873664
G01_noise,True,B2_FAMILY,CLEAN_2023_24,3167,7.741545271052051,-0.003026490174912692,1.0043144074027868,30.606650878854857,0.09303037487118725,1.201702910904049,0.00014440898860752644,0.00015428984595968278,0.00022439926562972903,0.0002178527510510697,0.1512645548624341,0.06565525359986502,0.07500721728715741
G01_noise,True,B2_FAMILY,DISCLOSED_2022,1350,7.166645538917222,-0.00732187541542858,1.0014337096607462,29.55734074074074,0.21672544303003988,3.0240848644341356,0.0009145089267299622,0.0009208667483434881,0.00011075133977795525,-0.00028215796920855104,0.902810537591655,0.391858190784463,0.4476746467396637
