component,scheme,MDE80_injection_verified,type_I_at_alpha_0_05,note
BETWEEN_opp_team_season,N_ESWAP,0.006256410256410258,0.048,linear interpolation between bracketing grid points
BETWEEN_opp_team_season,N_BLIND,,0.008,power never reaches 0.80 on the grid (max 0.144 at delta 0.0080)
WITHIN_opp_team_season,N_ESWAP,,0.048,power never reaches 0.80 on the grid (max 0.244 at delta 0.0080)
WITHIN_opp_team_season,N_BLIND,,0.008,power never reaches 0.80 on the grid (max 0.444 at delta 0.0080)
