CSV draw/null dumps in the thirty: 119
                                  screen                                                                           file    rows  numeric_cols standardised_cols  RAW_RECOVERABLE
0           E0_I0012_layer3_noncollinear                          E0_I0012_layer3_noncollinear/f1_placebo_draws_ast.csv     200             2                               True
1           E0_I0012_layer3_noncollinear                          E0_I0012_layer3_noncollinear/f1_placebo_draws_pts.csv     200             2                               True
2           E0_I0012_layer3_noncollinear                          E0_I0012_layer3_noncollinear/f1_placebo_draws_reb.csv     200             2                               True
3           E0_I0012_layer3_noncollinear                          E0_I0012_layer3_noncollinear/f2_placebo_draws_ast.csv     200             2                               True
4           E0_I0012_layer3_noncollinear                          E0_I0012_layer3_noncollinear/f2_placebo_draws_pts.csv     200             2                               True
5           E0_I0012_layer3_noncollinear                          E0_I0012_layer3_noncollinear/f2_placebo_draws_reb.csv     200             2                               True
6           E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_d3par.csv     200             2                               True
7           E0_I0012_layer3_noncollinear                   E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dorebA.csv     200             2                               True
8           E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dpace.csv     200             2                               True
9           E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dtovf.csv     200             2                               True
10          E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_d3par.csv     200             2                               True
11          E0_I0012_layer3_noncollinear                   E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dorebA.csv     200             2                               True
12          E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dpace.csv     200             2                               True
13          E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dtovf.csv     200             2                               True
14          E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_d3par.csv     200             2                               True
15          E0_I0012_layer3_noncollinear                   E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dorebA.csv     200             2                               True
16          E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dpace.csv     200             2                               True
17          E0_I0012_layer3_noncollinear                    E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dtovf.csv     200             2                               True
18          E0_I0012_layer3_noncollinear                  E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_b2b.csv     200             2                               True
19          E0_I0012_layer3_noncollinear                 E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_rest.csv     200             2                               True
20          E0_I0012_layer3_noncollinear               E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_travel.csv     200             2                               True
21          E0_I0012_layer3_noncollinear                 E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_rest_dif.csv     200             2                               True
22          E0_I0012_layer3_noncollinear                  E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_b2b.csv     200             2                               True
23          E0_I0012_layer3_noncollinear                 E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_rest.csv     200             2                               True
24          E0_I0012_layer3_noncollinear               E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_travel.csv     200             2                               True
25          E0_I0012_layer3_noncollinear                 E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_rest_dif.csv     200             2                               True
26          E0_I0012_layer3_noncollinear                  E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_b2b.csv     200             2                               True
27          E0_I0012_layer3_noncollinear                 E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_rest.csv     200             2                               True
28          E0_I0012_layer3_noncollinear               E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_travel.csv     200             2                               True
29          E0_I0012_layer3_noncollinear                 E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_rest_dif.csv     200             2                               True
30            E0_I0013_possession_volume                                 E0_I0013_possession_volume/maxt_null_draws.csv     400             1                               True
31            E0_I0013_possession_volume                     E0_I0013_possession_volume/placebo_draws_ast_exp_gposs.csv     200             2                               True
32            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_ast_opp_fgaA48.csv     200             2                               True
33            E0_I0013_possession_volume                   E0_I0013_possession_volume/placebo_draws_ast_opp_missA48.csv     200             2                               True
34            E0_I0013_possession_volume                   E0_I0013_possession_volume/placebo_draws_ast_opp_missO48.csv     200             2                               True
35            E0_I0013_possession_volume                  E0_I0013_possession_volume/placebo_draws_ast_opp_orebA100.csv     200             2                               True
36            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_ast_opp_pace48.csv     200             2                               True
37            E0_I0013_possession_volume                  E0_I0013_possession_volume/placebo_draws_ast_own_orebR100.csv     200             2                               True
38            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_ast_own_pace48.csv     200             2                               True
39            E0_I0013_possession_volume                           E0_I0013_possession_volume/placebo_draws_ast_ppm.csv     200             2                               True
40            E0_I0013_possession_volume                     E0_I0013_possession_volume/placebo_draws_pts_exp_gposs.csv     200             2                               True
41            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_pts_opp_fgaA48.csv     200             2                               True
42            E0_I0013_possession_volume                   E0_I0013_possession_volume/placebo_draws_pts_opp_missA48.csv     200             2                               True
43            E0_I0013_possession_volume                   E0_I0013_possession_volume/placebo_draws_pts_opp_missO48.csv     200             2                               True
44            E0_I0013_possession_volume                  E0_I0013_possession_volume/placebo_draws_pts_opp_orebA100.csv     200             2                               True
45            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_pts_opp_pace48.csv     200             2                               True
46            E0_I0013_possession_volume                  E0_I0013_possession_volume/placebo_draws_pts_own_orebR100.csv     200             2                               True
47            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_pts_own_pace48.csv     200             2                               True
48            E0_I0013_possession_volume                           E0_I0013_possession_volume/placebo_draws_pts_ppm.csv     200             2                               True
49            E0_I0013_possession_volume                     E0_I0013_possession_volume/placebo_draws_reb_exp_gposs.csv     200             2                               True
50            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_reb_opp_fgaA48.csv     200             2                               True
51            E0_I0013_possession_volume                   E0_I0013_possession_volume/placebo_draws_reb_opp_missA48.csv     200             2                               True
52            E0_I0013_possession_volume                   E0_I0013_possession_volume/placebo_draws_reb_opp_missO48.csv     200             2                               True
53            E0_I0013_possession_volume                  E0_I0013_possession_volume/placebo_draws_reb_opp_orebA100.csv     200             2                               True
54            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_reb_opp_pace48.csv     200             2                               True
55            E0_I0013_possession_volume                  E0_I0013_possession_volume/placebo_draws_reb_own_orebR100.csv     200             2                               True
56            E0_I0013_possession_volume                    E0_I0013_possession_volume/placebo_draws_reb_own_pace48.csv     200             2                               True
57            E0_I0013_possession_volume                           E0_I0013_possession_volume/placebo_draws_reb_ppm.csv     200             2                               True
58            E0_I0013_possession_volume                E0_I0013_possession_volume/placebo_draws_survivor_2021_2024.csv     200             1                               True
59            E0_I0013_possession_volume                E0_I0013_possession_volume/placebo_draws_survivor_2022_2024.csv     200             1                               True
60            E0_I0013_possession_volume                E0_I0013_possession_volume/placebo_draws_survivor_2023_2024.csv     200             1                               True
61            E0_I0013_possession_volume                     E0_I0013_possession_volume/placebo_draws_survivor_2024.csv     200             1                               True
62   E0_I0015_points_skill_decomposition                        E0_I0015_points_skill_decomposition/blockflip_draws.csv    2000            10                               True
63   E0_I0015_points_skill_decomposition                        E0_I0015_points_skill_decomposition/maxt_null_draws.csv     400             2                               True
64   E0_I0015_points_skill_decomposition                     E0_I0015_points_skill_decomposition/noop_placebo_draws.csv     200             3                               True
65          E1_I0004_efficiency_transfer              E1_I0004_efficiency_transfer/permutation_draws_paired_cluster.csv  120000             2                               True
66       E1_I0004_efficiency_transfer_v2           E1_I0004_efficiency_transfer_v2/permutation_draws_paired_cluster.csv    5000             3                               True
67       E1_I0004_efficiency_transfer_v2            E1_I0004_efficiency_transfer_v2/placebo_draws_opponent_reassign.csv    2000             1                               True
68                 E1_I0004_fga_forecast                      E1_I0004_fga_forecast/permutation_draws_step3_cluster.csv    5000            10                               True
69                 E1_I0004_fga_forecast                    E1_I0004_fga_forecast/permutation_draws_step4_fgpts_F_A.csv    5000             2                               True
70                 E1_I0004_fga_forecast                    E1_I0004_fga_forecast/permutation_draws_step4_fgpts_F_B.csv    5000             2                               True
71               E1_I0004_shot_selection                          E1_I0004_shot_selection/permutation_draws_cluster.csv  150000             2                               True
72               E1_I0004_shot_selection                         E1_I0004_shot_selection/permutation_draws_rowlevel.csv   60000             2                               True
73                     E1_I0009_r2_rerun                              E1_I0009_r2_rerun/permutation_draws_plain_ols.csv    2975             2                               True
74                     E1_I0009_r2_rerun                   E1_I0009_r2_rerun/permutation_draws_standard_weighted_wf.csv     400             2                               True
75            E1_I0012_survivor_2021drop                         E1_I0012_survivor_2021drop/placebo_draws_2023_2024.csv     400             2                               True
76            E1_I0012_survivor_2021drop                        E1_I0012_survivor_2021drop/placebo_draws_2024_alone.csv     400             2                               True
77            E1_I0012_survivor_2021drop                          E1_I0012_survivor_2021drop/placebo_draws_drop2021.csv     400             2                               True
78            E1_I0012_survivor_2021drop                E1_I0012_survivor_2021drop/placebo_draws_drop2021_loadstage.csv     400             2                               True
79             E1_I0013_tempo_redundancy                            E1_I0013_tempo_redundancy/perm_draws_per_season.csv     300             8                               True
80             E1_I0013_tempo_redundancy                                 E1_I0013_tempo_redundancy/perm_draws_step2.csv     400             3                               True
81             E1_I0013_tempo_redundancy                                 E1_I0013_tempo_redundancy/perm_draws_step3.csv     300            34                               True
82             E1_I0013_tempo_redundancy                                E1_I0013_tempo_redundancy/perm_draws_step3d.csv     300            18                               True
83            E1_I0020_coldstart_tiering                              E1_I0020_coldstart_tiering/noop_placebo_draws.csv     200             1                               True
84            E1_I0020_coldstart_tiering                  E1_I0020_coldstart_tiering/permutation_draws_datapoor_pts.csv    2000            20                               True
85            E1_I0020_coldstart_tiering                               E1_I0020_coldstart_tiering/permutation_nulls.csv       6             0                               True
86            E1_I0020_coldstart_tiering                     E1_I0020_coldstart_tiering/perm_draws_depth_bucket_pts.csv     500             1                               True
87            E1_I0020_coldstart_tiering                     E1_I0020_coldstart_tiering/perm_draws_draft_bucket_pts.csv     500             1                               True
88            E1_I0020_coldstart_tiering                        E1_I0020_coldstart_tiering/perm_draws_pos_group_pts.csv     500             1                               True
89     E1_I0021_heterogeneity_diagnostic                        E1_I0021_heterogeneity_diagnostic/permutation_draws.csv   16000             4                               True
90           E1_I0025_threshold_vs_refit                   E1_I0025_threshold_vs_refit/concentration_increment_null.csv       2             0                               True
91           E1_I0025_threshold_vs_refit                               E1_I0025_threshold_vs_refit/ladder_swap_null.csv       8             0                               True
92           E1_I0025_threshold_vs_refit                          E1_I0025_threshold_vs_refit/permutation_draws_c02.csv    2000             2                               True
93           E1_I0025_threshold_vs_refit                          E1_I0025_threshold_vs_refit/permutation_draws_c04.csv    2000             2                               True
94           E1_I0025_threshold_vs_refit                               E1_I0025_threshold_vs_refit/random_tier_null.csv       8             0                               True
95              E1_I0026_detection_floor                                 E1_I0026_detection_floor/out/s03_null_meta.csv      24             0                               True
96              E1_I0026_detection_floor                          E1_I0026_detection_floor/out/s07_null_drift_probe.csv      64             9                               True
97              E1_I0026_detection_floor             E1_I0026_detection_floor/out/s08_uninformative_nulls_by_screen.csv       7             0                               True
98              E1_I0026_detection_floor                 E1_I0026_detection_floor/out/s08_uninformative_nulls_named.csv     628             6                               True
99             E1_I0027_reference_ladder                                      E1_I0027_reference_ladder/cyclic_null.csv       3             0                               True
100   E1_I0030_home_advantage_accounting     E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_fta.csv    2000             1                               True
101   E1_I0030_home_advantage_accounting  E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_fta_pm.csv    2000             1                               True
102   E1_I0030_home_advantage_accounting     E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_ppm.csv    2000             1                               True
103   E1_I0030_home_advantage_accounting     E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_pts.csv    2000             1                               True
104   E1_I0030_home_advantage_accounting        E1_I0030_home_advantage_accounting/permutation_draws_reconciliation.csv    4000             3                               True
105   E1_I0030_home_advantage_accounting                  E1_I0030_home_advantage_accounting/permutation_draws_team.csv   20000             4                               True
106   E1_I0030_home_advantage_accounting            E1_I0030_home_advantage_accounting/permutation_draws_travel_ppp.csv    4000             2                               True
107   E1_I0030_home_advantage_accounting            E1_I0030_home_advantage_accounting/permutation_draws_travel_pts.csv    4000             2                               True
108               E1_I0031_rapm_as_prior                         E1_I0031_rapm_as_prior/permutation_draws_coldstart.csv   90000             2                               True
109               E1_I0031_rapm_as_prior                     E1_I0031_rapm_as_prior/permutation_draws_decomposition.csv   40000             2                               True
110               E1_I0031_rapm_as_prior                       E1_I0031_rapm_as_prior/permutation_draws_feature_dr2.csv   16000             2                               True
111               E1_I0031_rapm_as_prior                    E1_I0031_rapm_as_prior/permutation_draws_feature_paired.csv   16000             2                               True
112               E1_I0031_rapm_as_prior                         E1_I0031_rapm_as_prior/permutation_draws_plusminus.csv   48000             2                               True
113               E1_I0031_rapm_as_prior                         E1_I0031_rapm_as_prior/permutation_draws_reference.csv   96000             2                               True
114             E1_I0032_aggregate_stack                           E1_I0032_aggregate_stack/permutation_draws_index.csv      24             0                               True
115              E1_I0034_redistribution                               E1_I0034_redistribution/null_absorption_tell.csv      14             0                               True
116        E1_I0036_level_artefact_sweep                         E1_I0036_level_artefact_sweep/D097_COMPONENT_NULLS.csv       6             0                               True
117        E1_I0036_level_artefact_sweep                         E1_I0036_level_artefact_sweep/D097_NULL_COMPARISON.csv       3             0                               True
