stratum,decomposition,n_games,total,volume_part,volume_label,rate_part,rate_label,residual,max_abs_row_residual,share_volume,share_rate,p_total,p_volume,p_rate,sd_total,sd_volume,sd_rate
ALL_2021_2024,pts = poss x ppp,970,1.363917525773196,0.12520299096232587,PACE (possessions),1.23871453481087,EFFICIENCY (pts per poss),-2.4957484532625497e-16,1.4210854715202004e-14,0.09179659957177332,0.9082034004282266,0.0015999200039998,0.17694115294235288,0.0066496675166241685,0.4411373111514766,0.09218000691286,0.4561531667248399
ALL_2021_2024,pts = teamminutes x pts/min,970,1.363917525773196,0.0,MINUTES BUDGET,1.363917525773196,SCORING RATE per team minute,-1.3780500223182356e-16,1.4210854715202004e-14,0.0,1.0,0.0015999200039998,1.0,0.0015999200039998,0.4411373111514766,0.0,0.4411373111514766
ALL_2021_2024,fgm = fga x fg%,970,0.10412371134020612,0.038878023370393006,shot volume,0.06524568796981324,shot accuracy,-6.438148983006707e-17,6.8833827526759706e-15,0.3733829967255568,0.6266170032744444,0.5905704714764262,0.7336133193340333,0.7332633368331584,0.19185863957634963,0.11398634885283251,0.19075425558337075
ALL_2021_2024,fg2m = fg2a x fg2%,970,0.002061855670103181,0.08977320867136113,2pt volume,-0.08771135300125808,2pt accuracy,2.4522194126385544e-17,4.551914400963142e-15,43.540006205608286,-42.54000620560835,0.9960001999900004,0.5775211239438028,0.5931203439828009,0.19917882548396812,0.1596319378657532,0.16643931596006556
ALL_2021_2024,fg3m = fg3a x fg3%,970,0.10206185567010309,-0.011206646438393902,3pt volume,0.11326850210849702,3pt accuracy,-1.1946343112912445e-17,2.220446049250313e-15,-0.1098024954064857,1.109802495406486,0.4455777211139443,0.8988550572471377,0.25398730063496827,0.13208346720392078,0.08889289783896914,0.09909293183391701
ALL_2021_2024,ftm = fta x ft%,969,1.0381836945304437,0.9400140426610685,FT volume,0.09816965186937529,FT accuracy,-2.423242205451193e-17,4.440892098500626e-15,0.9054409615691604,0.09455903843083963,4.999750012499375e-05,4.999750012499375e-05,0.24583770811459427,0.22055163004542186,0.20182420223556422,0.08491493511780919
REGULAR_SEASON,pts = poss x ppp,888,0.9650900900900898,0.14186968373626352,PACE (possessions),0.8232204063538262,EFFICIENCY (pts per poss),-2.3536368674846584e-16,1.4210854715202004e-14,0.14700149259953563,0.8529985074004642,0.035798210089495526,0.14069296535173242,0.08209589520523974,0.45817901430999325,0.09587645271036763,0.4742998801024075
REGULAR_SEASON,pts = teamminutes x pts/min,888,0.9650900900900901,0.0,MINUTES BUDGET,0.9650900900900901,SCORING RATE per team minute,-9.851979092394408e-17,1.4210854715202004e-14,0.0,1.0,0.035798210089495526,1.0,0.035798210089495526,0.45817901430999325,0.0,0.4581790143099933
REGULAR_SEASON,fgm = fga x fg%,888,-0.02139639639639646,0.03881092967688292,shot volume,-0.060207326073279284,shot accuracy,-8.395436498150818e-17,6.8833827526759706e-15,-1.8139002922669438,2.8139002922669394,0.9162541872906355,0.7510124493775311,0.7629618519074046,0.19778570322560832,0.12121443143999669,0.19977082943899482
REGULAR_SEASON,fg2m = fg2a x fg2%,888,-0.0878378378378378,0.07679067343260652,2pt volume,-0.1646285112704444,2pt accuracy,3.6569846250321876e-18,4.551914400963142e-15,-0.8742322821558285,1.8742322821558293,0.6791660416979151,0.6463676816159192,0.3382830858457077,0.20696890926610106,0.168011761058041,0.17256385641826505
REGULAR_SEASON,fg3m = fg3a x fg3%,888,0.06644144144144144,0.008501470391237402,3pt volume,0.0579399710502041,3pt accuracy,-9.392511793351902e-18,2.220446049250313e-15,0.12795433402404768,0.8720456659759532,0.6410679466026699,0.9303534823258837,0.583320833958302,0.1406337923771654,0.09447202268221865,0.10500992774997012
REGULAR_SEASON,ftm = fta x ft%,887,0.9244644870349493,0.8596775747633659,FT volume,0.06478691227158345,FT accuracy,-3.110376793904751e-17,4.440892098500626e-15,0.9299195229452506,0.07008047705474942,9.99950002499875e-05,9.99950002499875e-05,0.45642717864106797,0.23136878899685506,0.21261026230152574,0.08758482557177016
