analysis,target,arm,n,arm_mean,reference_mean,diff_vs_no_travel,p_cyclic,note,beta,dR2,null_mean_dR2,null_sd_dR2,p_cyclic_dR2,null_sd_beta,p_cyclic_beta_LOWER_TAIL_prereg,covariates,raw_east_minus_west
RAW,pts,eastbound,341,82.47214076246334,81.99236641221374,0.479774350249599,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,pts,westbound,331,82.36253776435045,81.99236641221374,0.37017135213670826,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,pts,same_zone_travel,532,81.27067669172932,81.99236641221374,-0.7216897204844201,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,ppp,eastbound,341,0.9964008965291669,1.0011935067811872,-0.0047926102520203795,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,ppp,westbound,331,1.0026540073464345,1.0011935067811872,0.0014605005652472691,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,ppp,same_zone_travel,532,0.990427782562944,1.0011935067811872,-0.010765724218243289,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,poss,eastbound,341,82.85700879765395,81.95076335877862,0.9062454388753309,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,poss,westbound,331,82.1876737160121,81.95076335877862,0.23691035723348364,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,poss,same_zone_travel,532,82.10067669172932,81.95076335877862,0.1499133329507032,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,fta,eastbound,341,18.75659824046921,18.234732824427482,0.5218654160417273,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,fta,westbound,331,16.91238670694864,18.234732824427482,-1.3223461174788405,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,fta,same_zone_travel,532,18.043233082706767,18.234732824427482,-0.19149974172071538,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,fg_pct,eastbound,341,0.4419074317412001,0.44081721322778433,0.001090218513415786,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,fg_pct,westbound,331,0.4449322055239138,0.44081721322778433,0.004114992296129494,,CONFOUNDED with is_home and rest,,,,,,,,,
RAW,fg_pct,same_zone_travel,532,0.43678728330270067,0.44081721322778433,-0.004029929925083664,,CONFOUNDED with is_home and rest,,,,,,,,,
ADJUSTED,pts,eastbound,341,,,,,,0.8562299341213058,0.000948203142979415,0.0005283040691172431,0.0007260479976801867,0.18770307423144214,0.6209309343433713,0.8685328667833042,is_home+rest_days+own_pre_pts+opp_pre_allowed_pts,
ADJUSTED,pts,westbound,331,,,,,,0.5606514661748707,0.0003922537178096197,0.00047163016155715097,0.0007000811165080816,0.3646588352911772,0.6013887028478602,0.7828042989252687,is_home+rest_days+own_pre_pts+opp_pre_allowed_pts,
ADJUSTED,pts,same_zone_travel,532,,,,,,-0.5323049158333316,0.0004627034492148001,0.0005719810887644342,0.0007990787740048201,0.3754061484628843,0.5409536375353526,0.26118470382404396,is_home+rest_days+own_pre_pts+opp_pre_allowed_pts,
ADJUSTED,ppp,eastbound,341,,,,,,0.0011028195469146482,1.1755196525215245e-05,0.0005218442038259553,0.0007415525686081237,0.8795301174706324,0.007106222924475996,0.47138215446138465,is_home+rest_days+own_pre_pts+opp_pre_allowed_pts,
ADJUSTED,ppp,westbound,331,,,,,,0.007622961430111313,0.000541912284269257,0.0005002239585794215,0.0007250168621718611,0.2946763309172707,0.007144600325307994,0.823294176455886,is_home+rest_days+own_pre_pts+opp_pre_allowed_pts,
ADJUSTED,ppp,same_zone_travel,532,,,,,,-0.0054748616608184765,0.00036578718802190844,0.000552702482971678,0.0007860057331492546,0.4181454636340915,0.006211494078645322,0.28142964258935266,is_home+rest_days+own_pre_pts+opp_pre_allowed_pts,
ROAD_ONLY_EAST_vs_WEST,pts,eastbound,211,,,,,,0.3081299781974158,,,,,0.90729831475231,0.4026493376655836,rest_days+own_pre_pts+opp_pre_allowed_pts,0.005700617007960318
ROAD_ONLY_EAST_vs_WEST,ppp,eastbound,211,,,,,,-0.00496120054108101,,,,,0.010230755655773466,0.2556860784803799,rest_days+own_pre_pts+opp_pre_allowed_pts,-0.008952615876063219
