,n,n,pts,pts,minutes,minutes,fta,fta,ftm,ftm,fga,fga
is_home,0,1,0,1,0,1,0,1,0,1,0,1
tier,,,,,,,,,,,,
bench <10,723,733,1.8686030428769018,1.8867667121418827,7.339142461964038,7.236334697589814,0.46887966804979253,0.451568894952251,0.3084370677731674,0.3219645293315143,1.9253112033195021,1.9386084583901773
rotation 10-20,2595,2602,5.003082851637765,5.0695618754803995,15.398561335902377,15.474775813476814,1.0601156069364162,1.0991544965411222,0.8073217726396917,0.8328209069946195,4.454720616570327,4.470023059185242
starter 20-28,2980,2990,8.49261744966443,8.438795986622074,23.276023489932886,23.260334448160535,1.7258389261744966,1.8645484949832776,1.3399328859060402,1.4444816053511706,7.108724832214765,7.053846153846154
star >28,2060,2034,15.846116504854368,16.38938053097345,31.116148867313917,31.27306620780072,3.5432038834951456,3.8008849557522124,2.9228155339805824,3.169124877089479,12.829126213592232,13.030973451327434
