player_id,m_a,m_h,pts_sum_a,pts_sum_h,min_sum_a,min_sum_h,fga_sum_a,fga_sum_h,fta_sum_a,fta_sum_h,fg3a_sum_a,fg3a_sum_h,fgm_sum_a,fgm_sum_h,fg3m_sum_a,fg3m_sum_h,ftm_sum_a,ftm_sum_h,f_h,f_a,pbar_h,pbar_a,mbar_h,mbar_a,ppm_h,ppm_a,fbar_h,fbar_a,fta_bar_h,fta_bar_a,contrib_within,contrib_comp,games
100720,30.0,31.0,271.0,270.0,822.8333333333334,826.9833333333333,225.0,232.0,22.0,18.0,146.0,158.0,96.0,95.0,60.0,63.0,19.0,17.0,0.03490990990990991,0.033783783783783786,8.709677419354838,9.033333333333333,26.676881720430107,27.42777777777778,0.3264878373203813,0.3293498075754507,0.5483870967741935,0.6333333333333333,0.5806451612903226,0.7333333333333333,-0.01111656010849561,0.009990433982369425,61.0
100940,54.0,55.0,738.0,977.0,1536.8333333333333,1632.6166666666666,633.0,709.0,183.0,269.0,402.0,437.0,230.0,290.0,125.0,158.0,153.0,239.0,0.061936936936936936,0.060810810810810814,17.763636363636362,13.666666666666666,29.683939393939394,28.459876543209877,0.5984258399093481,0.48020822036655464,4.345454545454546,2.8333333333333335,4.890909090909091,3.388888888888889,0.25144690144690135,0.017697242697242627,109.0
200676,14.0,12.0,81.0,86.0,271.51666666666665,191.4,90.0,80.0,13.0,9.0,1.0,6.0,35.0,39.0,0.0,1.0,11.0,7.0,0.013513513513513514,0.015765765765765764,7.166666666666667,5.785714285714286,15.950000000000001,19.39404761904762,0.44932079414838033,0.2983242281014057,0.5833333333333334,0.7857142857142857,0.75,0.9285714285714286,0.02021664521664522,-0.014586014586014572,26.0
201480,32.0,29.0,484.0,444.0,950.5333333333333,815.0333333333333,324.0,297.0,93.0,110.0,0.0,0.0,208.0,184.0,0.0,0.0,68.0,76.0,0.03265765765765766,0.036036036036036036,15.310344827586206,15.125,28.104597701149423,29.704166666666666,0.5447629953785121,0.5091878243792959,2.6206896551724137,2.125,3.793103448275862,2.90625,0.006366010406958666,-0.05141105545200373,61.0
201496,37.0,36.0,465.0,425.0,981.0,963.3666666666667,377.0,352.0,93.0,74.0,130.0,129.0,172.0,163.0,42.0,41.0,79.0,58.0,0.04054054054054054,0.041666666666666664,11.805555555555555,12.567567567567568,26.760185185185186,26.513513513513512,0.44116120549461957,0.4740061162079511,1.6111111111111112,2.135135135135135,2.0555555555555554,2.5135135135135136,-0.03132143968292621,-0.01372360536211882,73.0
201507,15.0,16.0,126.0,71.0,351.01666666666665,374.06666666666666,101.0,77.0,14.0,9.0,74.0,66.0,42.0,22.0,31.0,19.0,11.0,8.0,0.018018018018018018,0.016891891891891893,4.4375,8.4,23.379166666666666,23.40111111111111,0.18980573872749956,0.3589573144674992,0.5,0.7333333333333333,0.5625,0.9333333333333333,-0.06916525900900902,0.007228322072072065,31.0
201516,33.0,27.0,347.0,382.0,809.8166666666666,719.9833333333333,299.0,275.0,59.0,70.0,140.0,120.0,120.0,131.0,51.0,53.0,56.0,67.0,0.030405405405405407,0.037162162162162164,14.148148148148149,10.515151515151516,26.66604938271605,24.539898989898987,0.5305678372184541,0.42849204552470727,2.4814814814814814,1.696969696969697,2.5925925925925926,1.7878787878787878,0.12273637273637275,-0.08332195832195834,60.0
201881,2.0,1.0,6.0,6.0,7.000000000000001,12.85,4.0,5.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0011261261261261261,0.0022522522522522522,6.0,3.0,12.85,3.5000000000000004,0.4669260700389105,0.857142857142857,4.0,1.0,4.0,1.0,0.005067567567567568,-0.005067567567567568,3.0
201886,72.0,73.0,1027.0,1201.0,2230.75,2256.866666666667,870.0,947.0,267.0,300.0,345.0,359.0,349.0,411.0,100.0,123.0,229.0,256.0,0.08220720720720721,0.08108108108108109,16.45205479452055,14.26388888888889,30.915981735159818,30.98263888888889,0.5321537234513928,0.4603832791661997,3.506849315068493,3.1805555555555554,4.109589041095891,3.7083333333333335,0.17865093261069295,0.017295013335253098,145.0
201896,31.0,34.0,160.0,176.0,674.6,810.6166666666667,128.0,161.0,27.0,34.0,76.0,69.0,54.0,63.0,29.0,21.0,23.0,29.0,0.038288288288288286,0.03490990990990991,5.176470588235294,5.161290322580645,23.84166666666667,21.761290322580646,0.21711865452227727,0.23717758671805514,0.8529411764705882,0.7419354838709677,1.0,0.8709677419354839,0.0005555840470451624,0.01746243397097287,65.0
