team_id,abbreviation,city,arena,lat,lon,timezone,utc_offset
1611661313,NYL,"Brooklyn, NY",Barclays Center,40.6828,-73.9758,America/New_York,-4
1611661317,PHO,"Phoenix, AZ",Footprint Center,33.4457,-112.0712,America/Phoenix,-7
1611661319,LVA,"Las Vegas (Paradise), NV",Michelob ULTRA Arena,36.0905,-115.1767,America/Los_Angeles,-7
1611661320,LAS,"Los Angeles, CA",Crypto.com Arena,34.043,-118.2673,America/Los_Angeles,-7
1611661321,DAL,"Arlington, TX",College Park Center,32.7299,-97.1081,America/Chicago,-5
1611661322,WAS,"Washington, DC",Entertainment & Sports Arena,38.8621,-76.9978,America/New_York,-4
1611661323,CON,"Uncasville, CT",Mohegan Sun Arena,41.491,-72.091,America/New_York,-4
1611661324,MIN,"Minneapolis, MN",Target Center,44.9795,-93.276,America/Chicago,-5
1611661325,IND,"Indianapolis, IN",Gainbridge Fieldhouse,39.764,-86.1555,America/Indiana/Indianapolis,-4
1611661328,SEA,"Seattle, WA",Climate Pledge Arena,47.6221,-122.354,America/Los_Angeles,-7
1611661329,CHI,"Chicago, IL",Wintrust Arena,41.8534,-87.6193,America/Chicago,-5
1611661330,ATL,"College Park (Atlanta), GA",Gateway Center Arena,33.6545,-84.4477,America/New_York,-4
