measure,stratum,base,tip_time,prior_only,tip_time_fw_p,prior_only_fw_p,prior_only_retains_pct,lost_to_tip_time_pct
dR2 on y_ppm,POOLED,B_SINGLE,0.0032997045402004,0.0021995814444483,0.0016638935108153,0.0016638935108153,66.65995144870497,33.34004855129503
dR2 on y_spm,POOLED,B_SINGLE,0.0030659144380071,0.0014581271424744,0.0016638935108153,0.0016638935108153,47.55929012233652,52.44070987766348
paired dR2 on POINTS (in-sample coef),POOLED,B_SINGLE,0.007004952103689,0.0028249354780135,0.0004997501249375,0.0004997501249375,40.3276915558896,59.6723084441104
paired dR2 on POINTS (WALK-FORWARD coef),POOLED,B_SINGLE,0.0058053536174057,0.002303466458849,0.0004997501249375,0.0004997501249375,39.678314374213336,60.321685625786664
ARITHMETIC CEILING (D084 form),POOLED,B_SINGLE,0.0023589850344178,0.0016218912874182,,,68.75377604158835,31.246223958411647
dR2 on y_ppm,POOLED,B_COMPLETE,0.001274273598654,0.0004844132072594,0.0049916805324459,0.3727121464226289,38.01485079586361,61.98514920413639
dR2 on y_spm,POOLED,B_COMPLETE,0.0022126612601096,0.0007764072528296,0.0016638935108153,0.0116472545757071,35.08929571945153,64.91070428054847
paired dR2 on POINTS (in-sample coef),POOLED,B_COMPLETE,0.0045319791519423,0.0014332657148704,0.0004997501249375,0.0004997501249375,31.625602563862987,68.37439743613702
paired dR2 on POINTS (WALK-FORWARD coef),POOLED,B_COMPLETE,0.0030122263276569,0.0006311977586035,0.0004997501249375,0.0064967516241879,20.954526318561378,79.04547368143862
ARITHMETIC CEILING (D084 form),POOLED,B_COMPLETE,0.0009070788541167,0.0003562744839409,,,39.27712373890965,60.72287626109035
dR2 on y_ppm,DECISION,B_SINGLE,0.0049627745639936,0.0029110366820525,0.0016638935108153,0.0016638935108153,58.65744342233343,41.34255657766657
dR2 on y_spm,DECISION,B_SINGLE,0.007987326559483,0.0033447314410297,0.0016638935108153,0.0083194675540765,41.875481315567946,58.124518684432054
paired dR2 on POINTS (in-sample coef),DECISION,B_SINGLE,0.0115208317172172,0.0038420071144962,0.0004997501249375,0.0019990004997501,33.3483485289916,66.65165147100839
paired dR2 on POINTS (WALK-FORWARD coef),DECISION,B_SINGLE,0.008975192858252,0.0031226191080847,0.0004997501249375,0.0089955022488755,34.79166584385639,65.20833415614361
ARITHMETIC CEILING (D084 form),DECISION,B_SINGLE,0.0040703998951446,0.0023936898696195,,,58.80724084321118,41.19275915678882
dR2 on y_ppm,DECISION,B_COMPLETE,0.0042403908135284,0.0023420284455654,0.0016638935108153,0.08153078202995,55.231429095956706,44.768570904043294
dR2 on y_spm,DECISION,B_COMPLETE,0.007567059014113,0.0030374097302049,0.0016638935108153,0.0116472545757071,40.13989747588801,59.86010252411199
paired dR2 on POINTS (in-sample coef),DECISION,B_COMPLETE,0.0105216919652059,0.0033139323164604,0.0004997501249375,0.0044977511244377,31.496192127836633,68.50380787216336
paired dR2 on POINTS (WALK-FORWARD coef),DECISION,B_COMPLETE,0.0078165478804601,0.0023492235735382,0.0004997501249375,0.0344827586206896,30.05448964767192,69.94551035232809
ARITHMETIC CEILING (D084 form),DECISION,B_COMPLETE,0.0034838256055828,0.0019278878513117,,,55.3382421962304,44.6617578037696
