stratum,base,candidate,tip_time,n,r2_reference,r2_with_candidate,paired_dr2_points,paired_p_cluster,paired_p_row_NAIVE,n_clusters,mae_reference_points,mae_with_candidate_points,mae_pct_reduction,ORACLE_MINUTES_paired_dr2,ORACLE_MINUTES_p_cluster,beta_ppm,cand_sd,ppm_move_per_sd,mean_m_hat,points_move_per_sd,points_move_sd_of_actual_shift,sd_y_points,CEILING_dr2_points_per_sd,CEILING_dr2_points_actual_shift
POOLED,B_SINGLE,T01_c04_tiptime,True,14852,0.48785535955844683,0.49486031166213584,0.007004952103689093,0.0004997501249375312,0.0004997501249375312,48,4.06891528019452,4.043739960303576,0.6187231278440453,0.0030274280764094113,0.001999000499750125,-0.0015100233975435741,11.176442732899469,0.016876690027984045,21.643938155408495,0.36527803523368596,0.39096929951642684,7.482881813179899,0.0023829193534549427,0.0027299050414483104
POOLED,B_SINGLE,P01_c04_prevgame,False,14852,0.48785535955844683,0.49068029503646027,0.002824935478013523,0.0004997501249375312,0.0004997501249375312,48,4.06891528019452,4.0603930288131025,0.2094477469928968,0.0021896720763571018,0.0069965017491254375,-0.001348587267590959,10.375290018384877,0.013991984016357413,21.643938155408495,0.302841636721504,0.32879073644488765,7.482881813179899,0.0016379226838285372,0.001930640329950476
POOLED,B_SINGLE,P02_c04_availweighted,False,14852,0.48785535955844683,0.4887654990996061,0.0009101395411592445,0.5172413793103449,0.34182908545727136,48,4.06891528019452,4.07160841469602,-0.06618802103375288,0.0028625986723112133,0.06146926536731634,-0.0049280046276093436,6.123845322445406,0.030178338087774793,21.643938155408495,0.6531780832048063,0.7512290715990395,7.482881813179899,0.007619481801224197,0.010078757607974175
POOLED,B_SINGLE,G01_noise,False,14852,0.48785535955844683,0.4878821417350311,2.6782176584338835e-05,0.7276361819090454,0.7336331834082959,48,4.06891528019452,4.06904202935943,-0.0031150603092555684,3.4870158854180966e-05,0.6281859070464768,0.001810196795823117,0.9968475723937439,0.0018044902814712078,21.643938155408495,0.039056276054198494,0.04245649244334254,7.482881813179899,2.724230755550864e-05,3.2192184795433546e-05
POOLED,B_COMPLETE,T01_c04_tiptime,True,14852,0.4908722750698644,0.4954042542218069,0.0045319791519423695,0.0004997501249375312,0.0004997501249375312,48,4.062328964057044,4.045117312607223,0.4236892581104934,0.0016137806102546185,0.0024987506246876563,-0.0009654370234313493,11.176442732899469,0.010790151604601398,21.643938155408495,0.2335413740174744,0.24996714447749924,7.482881813179899,0.0009740693772050032,0.0011159072167914374
POOLED,B_COMPLETE,P01_c04_prevgame,False,14852,0.4908722750698644,0.492305540784735,0.0014332657148704903,0.0004997501249375312,0.0004997501249375312,48,4.062328964057044,4.057182471877659,0.12668821813596187,0.0007976971711371095,0.018490754622688656,-0.0006577967951024863,10.375290018384877,0.006824832522352389,21.643938155408495,0.14771625303481567,0.1603733758210393,7.482881813179899,0.00038968958052663726,0.0004593320721144418
POOLED,B_COMPLETE,P02_c04_availweighted,False,14852,0.4908722750698644,0.49143467963013665,0.0005624045602721796,0.1024487756121939,0.04997501249375312,48,4.062328964057044,4.060457422857145,0.046070646086460165,0.00019842523528230052,0.6091954022988506,-0.0019309212119804674,6.123845322445406,0.011824662831997198,21.643938155408495,0.2559322710443048,0.2943512149481628,7.482881813179899,0.0011698019180222895,0.0015473690060124109
POOLED,B_COMPLETE,G01_noise,False,14852,0.4908722750698644,0.49090898867513744,3.671360527295195e-05,0.6611694152923538,0.6451774112943528,48,4.062328964057044,4.062464937979602,-0.0033471913220450844,4.020138910444678e-05,0.5977011494252874,0.00192655886040024,0.9968475723937439,0.001920485523063637,21.643938155408495,0.0415668698895467,0.04518565709925716,7.482881813179899,3.08572253595911e-05,3.6463926524074056e-05
DECISION,B_SINGLE,T01_c04_tiptime,True,5673,0.2891553144532639,0.3006761461704811,0.011520831717217227,0.0004997501249375312,0.0004997501249375312,48,5.010788914287995,4.971044179890106,0.7931831709086512,0.004276750296151012,0.0014992503748125937,-0.001580712766728642,10.265850418755527,0.016227360818253437,30.210579352488395,0.49023797168130645,0.49427772653111707,7.495612092171412,0.00427759523418222,0.004348383854853602
DECISION,B_SINGLE,P01_c04_prevgame,False,5673,0.2891553144532639,0.29299732156776026,0.0038420071144962906,0.001999000499750125,0.0014992503748125937,48,5.010788914287995,4.999497593534577,0.2253401798910759,0.0021675555725713907,0.059470264867566215,-0.0013134283028853554,9.505667114556491,0.012485012226065066,30.210579352488395,0.37717945257232643,0.381041055150271,7.495612092171412,0.00253210578475025,0.002584219123270901
DECISION,B_SINGLE,P02_c04_availweighted,False,5673,0.2891553144532639,0.29350031082658135,0.004344996373317547,0.03698150924537731,0.004497751124437781,48,5.010788914287995,4.997397359442389,0.26725441990623766,0.002134351350714754,0.25087456271864067,-0.004589884040103214,4.960842046711472,0.02276968973567395,30.210579352488395,0.6878855185911185,0.7031448047850565,7.495612092171412,0.00842205604651067,0.008799851397667216
DECISION,B_SINGLE,G01_noise,False,5673,0.2891553144532639,0.2894327382442222,0.0002774237909582841,0.3868065967016492,0.3713143428285857,48,5.010788914287995,5.011319117157474,-0.010581225402783723,0.0003162298432651584,0.2708645677161419,0.0035767008345875344,0.9969875176728017,0.003565926086533664,30.210579352488395,0.10772869300233366,0.10813756267813902,7.495612092171412,0.00020656111797542575,0.00020813204298597676
DECISION,B_COMPLETE,T01_c04_tiptime,True,5673,0.2913149903257264,0.3018366822909324,0.010521691965205969,0.0004997501249375312,0.0004997501249375312,48,5.003390497419674,4.966352162010384,0.7402647350509772,0.0037955116150599935,0.0029985007496251873,-0.0014679587050708044,10.265850418755527,0.015069844487166938,30.210579352488395,0.45526873270921653,0.4590203271942819,7.495612092171412,0.0036891086219124412,0.003750158556877131
DECISION,B_COMPLETE,P01_c04_prevgame,False,5673,0.2913149903257264,0.2946289226421869,0.0033139323164604407,0.004497751124437781,0.0029985007496251873,48,5.003390497419674,4.9929862281958055,0.20794437750230044,0.0017734444115688407,0.08995502248875563,-0.0011838689710191386,9.505667114556491,0.011253464345760458,30.210579352488395,0.33997367760799524,0.3434543635810271,7.495612092171412,0.0020571993577784536,0.002099538634115974
DECISION,B_COMPLETE,P02_c04_availweighted,False,5673,0.2913149903257264,0.2945204929957137,0.0032055026699872096,0.0384807596201899,0.00399800099950025,48,5.003390497419674,4.993309023846249,0.2014928392781612,0.0010409376114831929,0.4102948525737131,-0.003972473754451618,4.960842046711472,0.01970681483054137,30.210579352488395,0.5953542932228653,0.6085609697723063,7.495612092171412,0.006308654932252493,0.006591647647130386
DECISION,B_COMPLETE,G01_noise,False,5673,0.2913149903257264,0.2915986154338984,0.0002836251081720151,0.3828085957021489,0.36681659170414793,48,5.003390497419674,5.003932043874121,-0.010823589618413898,0.0003155481438843234,0.2733633183408296,0.0036214312497416146,0.9969875176728017,0.0036105217521026044,30.210579352488395,0.10907595389578116,0.10948993691798828,7.495612092171412,0.00021175995357289746,0.00021337041642554511
