stratum,base,candidate,n_scored,seasons_scored,r2_reference,r2_with_candidate,walkforward_paired_dr2_points,paired_p_cluster,paired_p_row_NAIVE,mae_reference,mae_with_candidate,mae_pct_reduction
POOLED,B_SINGLE,T01_c04_tiptime,11738,"2022,2023,2024",0.5017918869172214,0.507597240534627,0.00580535361740572,0.0004997501249375312,0.0004997501249375312,4.041226549309698,4.020383551936456,0.515759191397025
POOLED,B_SINGLE,P01_c04_prevgame,11738,"2022,2023,2024",0.5017918869172214,0.5040953533760705,0.0023034664588490812,0.0004997501249375312,0.0004997501249375312,4.041226549309698,4.035143510063268,0.15052457891699955
POOLED,B_SINGLE,P02_c04_availweighted,11738,"2022,2023,2024",0.5017918869172214,0.5034378297524946,0.0016459428352733293,0.3258370814592704,0.10294852573713144,4.041226549309698,4.04122266418079,9.613736970948139e-05
POOLED,B_SINGLE,G01_noise,11738,"2022,2023,2024",0.5017918869172214,0.5018055816434637,1.3694726242276843e-05,0.920039980009995,0.8910544727636182,4.041226549309698,4.04151137384607,-0.007047972512719269
POOLED,B_COMPLETE,T01_c04_tiptime,11738,"2022,2023,2024",0.5051560677157673,0.5081682940434241,0.0030122263276569227,0.0004997501249375312,0.0004997501249375312,4.032107865897848,4.021014287161722,0.27513100108139676
POOLED,B_COMPLETE,P01_c04_prevgame,11738,"2022,2023,2024",0.5051560677157673,0.5057872654743707,0.0006311977586035384,0.006496751624187906,0.0004997501249375312,4.032107865897848,4.030461524001254,0.04083079995251815
POOLED,B_COMPLETE,P02_c04_availweighted,11738,"2022,2023,2024",0.5051560677157673,0.5051299628973085,-2.6104818458731835e-05,0.9405297351324338,0.9220389805097451,4.032107865897848,4.031471331587385,0.015786638940074038
POOLED,B_COMPLETE,G01_noise,11738,"2022,2023,2024",0.5051560677157673,0.5051899238508586,3.385613509140958e-05,0.792103948025987,0.7471264367816092,4.032107865897848,4.0321737563024085,-0.001634142903705893
DECISION,B_SINGLE,T01_c04_tiptime,4517,"2022,2023,2024",0.2996935941611738,0.3086687870194257,0.008975192858252053,0.0004997501249375312,0.0004997501249375312,5.021020382247811,4.990452947821885,0.6087892917941429
DECISION,B_SINGLE,P01_c04_prevgame,4517,"2022,2023,2024",0.2996935941611738,0.30281621326925834,0.003122619108084725,0.008995502248875561,0.0009995002498750624,5.021020382247811,5.012570491900853,0.1682903016453352
DECISION,B_SINGLE,P02_c04_availweighted,4517,"2022,2023,2024",0.2996935941611738,0.30393305554018146,0.004239461379007674,0.15992003998001,0.04247876061969016,5.021020382247811,5.009248436104558,0.23445326342178552
DECISION,B_SINGLE,G01_noise,4517,"2022,2023,2024",0.2996935941611738,0.29995647089830946,0.0002628767371358397,0.48425787106446777,0.4642678660669665,5.021020382247811,5.022332621811636,-0.02613491808287627
DECISION,B_COMPLETE,T01_c04_tiptime,4517,"2022,2023,2024",0.29984416250992274,0.3076607103903829,0.007816547880460106,0.0004997501249375312,0.0004997501249375312,5.021173033656231,4.99422138558317,0.5367599939776535
DECISION,B_COMPLETE,P01_c04_prevgame,4517,"2022,2023,2024",0.29984416250992274,0.302193386083461,0.0023492235735382717,0.034482758620689655,0.012993503248375811,5.021173033656231,5.015013042487385,0.12268032046608424
DECISION,B_COMPLETE,P02_c04_availweighted,4517,"2022,2023,2024",0.29984416250992274,0.3033602199999942,0.003516057490071369,0.16441779110444776,0.05347326336831584,5.021173033656231,5.0104940709060655,0.21267864458336394
DECISION,B_COMPLETE,G01_noise,4517,"2022,2023,2024",0.29984416250992274,0.3001096679636055,0.0002655054536828011,0.46326836581709147,0.44177911044477763,5.021173033656231,5.022388703264231,-0.024210868652652096
