candidate,n,corr_cand_future,corr_ref_future,dr2_over_ref_predicting_future,screening_flag,status,skipped
G01_noise,14252,-0.009568938601829604,0.6741257054561617,1.1278363538421061e-05,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
M01_dev_pos,14252,-0.2680086166805351,0.6741257054561617,0.0033065497061715897,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
M02_dev_neg,14252,-0.29465566796449394,0.6741257054561617,0.004718512240136764,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
M03_dev_pos_playernorm,14252,-0.031859233887927496,0.6741257054561617,0.0006121199795439064,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
M04_dev_neg_playernorm,14252,0.009678126814808138,0.6741257054561617,0.0001443951831205725,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
N01_news_vs_prevgame,14252,0.0011166418047618145,0.6741257054561617,3.9708635156702204e-05,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
N02_news_vs_avail,14252,0.020059828341958064,0.6741257054561617,4.8798083751739094e-05,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
O01_own_usg_pg,14209,0.6444891624134158,0.6741845718064259,0.028039934348311462,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
P01_c04_prevgame,14252,-0.3237286324983932,0.6741257054561617,0.004695381776140481,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
P02_c04_availweighted,14252,-0.5707665695876167,0.6741257054561617,0.020516464356784163,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
P03_c04_avail5,14252,-0.42112332118029283,0.6741257054561617,0.008069248002632107,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
P04_absent_usg_prevgame,14252,-0.03468409292519182,0.6741257054561617,0.00019603932355998042,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
P05_n_present_prevgame,14252,-0.007406786340067832,0.6741257054561617,3.848498881780596e-05,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
P06_c04_rotstab,14252,-0.3531375615071685,0.6741257054561617,0.005446317790432257,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
T01_c04_tiptime,14252,-0.3012684774742613,0.6741257054561617,0.004613471908749579,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
T02_teamgame_present_usg,14252,0.030622082331480248,0.6741257054561617,0.00020852466630127178,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
T03_absent_usg,14252,-0.03792227141423857,0.6741257054561617,7.906873223970585e-05,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
T04_n_present,14252,-0.041800711213289994,0.6741257054561617,0.0001240967993180212,False,NOT_FLAGGED__NOT_A_CERTIFICATE_OF_CLEANLINESS,False
