stratum,outcome,candidate,n,beta,sign,p10,p90,decile_spread_on_reference_residual,mean_m_hat,per_game_equivalent
POOLED,ppm,T01_c04_tiptime,14852,-0.0015100233975435741,-1.0,65.70551560008617,93.84866496836497,-0.040618369011804184,21.643938155408495,-0.8791414668650507
POOLED,ppm,T02_teamgame_present_usg,14852,-0.000673867431794368,-1.0,76.42780492898913,101.7479365079365,-0.023222080243779947,21.643938155408495,-0.5026172686363066
POOLED,ppm,T03_absent_usg,14852,0.00021806059024111652,1.0,3.2184126984126986,39.998,0.007468341662182106,21.643938155408495,0.1616443250597302
POOLED,ppm,P01_c04_prevgame,14852,-0.001348587267590959,-1.0,67.33431020128076,93.62859310351483,-0.04235231469689254,21.643938155408495,-0.9166708800379404
POOLED,spm,T01_c04_tiptime,14852,-0.001046394946968234,-1.0,65.70551560008617,93.84866496836497,-0.029141172335036287,21.643938155408495,-0.6307297317956264
POOLED,spm,T02_teamgame_present_usg,14852,-0.000739410060243445,-1.0,76.42780492898913,101.7479365079365,-0.027648435311242028,21.643938155408495,-0.5984210239703349
POOLED,spm,T03_absent_usg,14852,0.0002658925732193495,1.0,3.2184126984126986,39.998,0.009765372613525804,21.643938155408495,0.21136112091167233
POOLED,spm,P01_c04_prevgame,14852,-0.00078753777474593,-1.0,67.33431020128076,93.62859310351483,-0.026942484921338335,21.643938155408495,-0.5831414773904728
DECISION,ppm,T01_c04_tiptime,5673,-0.001580712766728642,-1.0,61.714478558964245,87.75466698909436,-0.06224100078232088,30.210579352488395,-1.880336693112597
DECISION,ppm,T02_teamgame_present_usg,5673,-0.0012963701032714194,-1.0,75.71960705960706,101.04241628959275,-0.04418995959593046,30.210579352488395,-1.3350042809561131
DECISION,ppm,T03_absent_usg,5673,0.00017314296499629011,1.0,4.532,41.82799999999999,-0.001993568588812585,30.210579352488395,-0.0602268620469509
DECISION,ppm,P01_c04_prevgame,5673,-0.0013134283028853554,-1.0,63.377103507933704,87.33855580753432,-0.04058892075266389,30.210579352488395,-1.2262148112302154
DECISION,spm,T01_c04_tiptime,5673,-0.001358488571060345,-1.0,61.714478558964245,87.75466698909436,-0.05041382527385834,30.210579352488395,-1.5230308688983825
DECISION,spm,T02_teamgame_present_usg,5673,-0.0012899244300049117,-1.0,75.71960705960706,101.04241628959275,-0.04415639127564019,30.210579352488395,-1.333990162552254
DECISION,spm,T03_absent_usg,5673,0.0004636843138421357,1.0,4.532,41.82799999999999,0.019165901575573817,30.210579352488395,0.5790129904108552
DECISION,spm,P01_c04_prevgame,5673,-0.0009537074113659108,-1.0,63.377103507933704,87.33855580753432,-0.03087939131851699,30.210579352488395,-0.9328843017845988
