arm,reference,brier_model,brier_ref,brier_skill_score,logloss_model,logloss_ref,logloss_skill,auc_model,auc_ref
v15_p_active,CONST_base_rate_078,0.09219934049118214,0.17197796619686676,0.4638886449811853,0.3097136866505639,0.5277622098342913,0.4131567571922041,0.9016109057435153,0.5
v15_p_active,R0_league_prior_rate,0.09219934049118214,0.17221142231062447,0.4646154171766923,0.3097136866505639,0.5286933966771856,0.4141903632670644,0.9016109057435153,0.5075711249921394
v15_p_active,R1_player_prior_rate,0.09219934049118214,0.12206638408552845,0.24467869526977482,0.3097136866505639,0.597931532712724,0.482024831094891,0.9016109057435153,0.8412914544774199
v15_p_active,R2_shrunk_career_rate,0.09219934049118214,0.1499115562406415,0.3849750959613706,0.3097136866505639,0.4627569111412588,0.3307205593391509,0.9016109057435153,0.75138304579731
v15_p_active,R3_rich_walkforward_lookup,0.09219934049118214,0.09929158448294921,0.071428450142066,0.3097136866505639,0.3346568690074016,0.07453360342137794,0.9016109057435153,0.8716647902161301
v14_p_active,CONST_base_rate_078,0.0953264319210709,0.17197796619686676,0.4457055515358941,0.3170718917578788,0.5277622098342913,0.39921448362618805,0.8957907465229747,0.5
v14_p_active,R0_league_prior_rate,0.0953264319210709,0.17221142231062447,0.44645697339908796,0.3170718917578788,0.5286933966771856,0.400272646205416,0.8957907465229747,0.5075711249921394
v14_p_active,R1_player_prior_rate,0.0953264319210709,0.12206638408552845,0.21906073785000146,0.3170718917578788,0.597931532712724,0.4697187313079608,0.8957907465229747,0.8412914544774199
v14_p_active,R2_shrunk_career_rate,0.0953264319210709,0.1499115562406415,0.3641155204335902,0.3170718917578788,0.4627569111412588,0.3148197593075145,0.8957907465229747,0.75138304579731
v14_p_active,R3_rich_walkforward_lookup,0.0953264319210709,0.09929158448294921,0.03993442729841035,0.3170718917578788,0.3346568690074016,0.05254629107623032,0.8957907465229747,0.8716647902161301
