candidate,family,status,recommended,row_null_anticonservative,var_share_between_primary_block,scheme_primary,scheme_secondary,secondary_is_identity
pl_opps_prior,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.09342543305978007,player_between,player_within,False
pl_games_prior,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.2630608176459592,player_between,player_within,False
pl_prior_rate_inseason,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.8087428807618681,player_between,player_within,False
pl_career_opps_prior,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.9192973379444043,player_between,player_within,False
pl_career_games_prior,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.9348609715542321,player_between,player_within,False
pl_prior_rate_career,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.8935475621954692,player_between,player_within,False
pl_prior_season_games,A_depth_experience,COARSER_LEVEL_FOUND,player_season,False,0.9999999999999994,player_between,player_within,True
pl_is_rookie_window,A_depth_experience,COARSER_LEVEL_FOUND,player_season,False,1.0000000000000029,player_between,player_within,True
pl_minutes_prior,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.45596423695732535,player_between,player_within,False
pl_min_per_opp_prior,A_depth_experience,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.9152470457456862,player_between,player_within,False
pl_missed_last,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.3731464850460968,player_between,player_within,False
pl_missed_any_last3,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.446236297527556,player_between,player_within,False
pl_dnp_frac5,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.5540091064440423,player_between,player_within,False
pl_dnp_frac10,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.6478812274487771,player_between,player_within,False
pl_consec_absences,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.5425779386514994,player_between,player_within,False
pl_absence_spells,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.6091652034877574,player_between,player_within,False
pl_days_since_appear,B_absence_return,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.1598687338511754,player_between,player_within,False
pl_boundary_score,C_boundary_intermittency,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.685410818961197,player_between,player_within,False
pl_boundary_score_career,C_boundary_intermittency,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.8714622436094174,player_between,player_within,False
pl_switches,C_boundary_intermittency,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.5862350367350382,player_between,player_within,False
pl_switch_rate,C_boundary_intermittency,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.7688527287828265,player_between,player_within,False
pl_switches5,C_boundary_intermittency,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.4353842359695055,player_between,player_within,False
pl_run_length,C_boundary_intermittency,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.39218581241654693,player_between,player_within,False
pl_min_mean5,D_role_volume,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.8603666928076489,player_between,player_within,False
pl_min_sd5,D_role_volume,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.345817585227293,player_between,player_within,False
pl_min_cv5,D_role_volume,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.6833952952221838,player_between,player_within,False
pl_start_mean5,D_role_volume,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.8203208152046276,player_between,player_within,False
pl_usg_mean5,D_role_volume,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.7401283490243624,player_between,player_within,False
pl_min_trend5,D_role_volume,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.0612739152137652,player_between,player_within,False
tm_roster_churn_prior,E_roster_churn,COARSER_LEVEL_FOUND,team_game,False,1.0000000000000018,teamgame_between,teamseason_between,True
tm_newfaces_prior,E_roster_churn,COARSER_LEVEL_FOUND,team_game,False,1.000000000000013,teamgame_between,teamseason_between,True
tm_roster_size_prior,E_roster_churn,COARSER_LEVEL_FOUND,team_game,False,0.9999999999999956,teamgame_between,teamseason_between,True
tm_five_tenure_prior,E_roster_churn,COARSER_LEVEL_FOUND,team_game,False,0.999999999999998,teamgame_between,teamseason_between,True
tm_five_changed_prior,E_roster_churn,COARSER_LEVEL_FOUND,team_game,False,1.0000000000000107,teamgame_between,teamseason_between,True
tm_rest_days,F_schedule,COARSER_LEVEL_FOUND,team_game,False,1.0,teamgame_between,teamseason_between,True
