lo,hi,n,share,mean_pred,obs_rate,gap
0.0,0.2,1510,0.08478859003874445,0.1180375180790089,0.14701986754966886,0.02898234947065996
0.2,0.4,1671,0.0938289628839351,0.28261542708621135,0.3177737881508079,0.03515836106459658
0.4,0.6,509,0.028581054522993993,0.48452086006247524,0.4066797642436149,-0.07784109581886034
0.6,0.8,1499,0.08417092481329665,0.7254713699074921,0.6551034022681788,-0.0703679676393133
0.8,0.9,3411,0.1915323712729519,0.8498512429931755,0.8859571973028437,0.03610595430966823
0.9,0.95,4884,0.27424336009882644,0.9279782977371008,0.9621212121212122,0.03414291438411132
0.95,1.01,4325,0.2428547363692515,0.9632898547125192,0.9747976878612716,0.011507833148752478
