depth_quintile,n,median_games_prior,skill_at_full_coverage,skill_at_cov_0.90,skill_at_cov_0.75,skill_at_cov_0.60,gain_from_p_active_at_075
0,2776,2.0,-0.15087707748790113,-0.12221021587589131,-0.10505312793647037,-0.061571408563197316,0.045823949551430765
1,2776,9.0,0.030467512581739853,0.029713332852851826,0.02972476247250111,0.023307615489976397,-0.0007427501092387434
2,2775,16.0,0.09650210640570245,0.10173913890014596,0.10128914456774463,0.09685158314905251,0.004787038162042179
3,2776,24.0,0.10797479605048577,0.1131058279863254,0.102220421372894,0.08609988313934991,-0.005754374677591767
4,2776,34.0,0.10983772627309363,0.10817525473621159,0.09448801672662543,0.07410992169273456,-0.015349709546468193
