base,r2_base,r2_base_plus_p_active,delta_r2
R1 only,0.30252461028665845,0.4680911703083702,0.16556656002171177
R2 only,0.1335597876551522,0.46569970631116697,0.3321399186560148
R3 only,0.42488356862182797,0.4739407590643776,0.049057190442549636
R2 + consec_absences,0.28023798282292944,0.4703573380759244,0.19011935525299495
R2 + consec + dnp_frac5 + min_per_opp,0.4178365727793607,0.4813301506508276,0.06349357787146692
R3 + consec + dnp_frac5 + min_per_opp,0.45366792465246897,0.4827803386774223,0.029112414024953348
