rule,coverage,n,brier_model,brier_ref,bss,base_rate
thin depth first (D076 axis: -pl_games_prior),1.0,17809,0.09219934049118214,0.09929158448294921,0.071428450142066,0.779325060362738
thin depth first (D076 axis: -pl_games_prior),0.95,16919,0.09041784526838788,0.09733171542591669,0.07103409332995114,0.7962645546427094
thin depth first (D076 axis: -pl_games_prior),0.9,16028,0.08772782582642819,0.0951811958487751,0.07830716935085491,0.8027202395807337
thin depth first (D076 axis: -pl_games_prior),0.8,14247,0.08465476212751505,0.09181915332073402,0.07802719731244956,0.8196813364217028
thin depth first (D076 axis: -pl_games_prior),0.75,13357,0.08268077443101537,0.08972950049773283,0.07855528034389936,0.824212023658007
thin depth first (D076 axis: -pl_games_prior),0.6,10685,0.07603267852375221,0.08242026192915804,0.07750015901303597,0.8470753392606457
thin depth first (D076 axis: -pl_games_prior),0.5,8905,0.07019452590503025,0.07611821276937587,0.07782220113724025,0.8650196518809657
thin depth first (D076 axis: -pl_games_prior),0.4,7124,0.06510450857824485,0.07084157727122664,0.08098448557993909,0.8841942728804043
thin depth first (D076 axis: -pl_games_prior),0.25,4452,0.053625936327049116,0.05884140156367587,0.08863597905605258,0.9110512129380054
model uncertainty first (mdl_pred_entropy),1.0,17809,0.09219934049118213,0.0992915844829492,0.071428450142066,0.779325060362738
model uncertainty first (mdl_pred_entropy),0.95,16919,0.08405775495551171,0.08973606292798529,0.06327788168097503,0.7986878657131036
model uncertainty first (mdl_pred_entropy),0.9,16028,0.07528518734258842,0.08012278679557912,0.06037732393573736,0.8186922884951335
model uncertainty first (mdl_pred_entropy),0.8,14247,0.05899061158521443,0.062354637046584664,0.05394988441448223,0.8584965255843335
model uncertainty first (mdl_pred_entropy),0.75,13357,0.05176893219168555,0.05639606818754372,0.08204713811733721,0.8657632701954031
model uncertainty first (mdl_pred_entropy),0.6,10685,0.03507228023004432,0.03997082240340776,0.12255294934701688,0.9078146934955545
model uncertainty first (mdl_pred_entropy),0.5,8905,0.032460583383186054,0.03725002110962979,0.12857543657084225,0.9144300954519933
model uncertainty first (mdl_pred_entropy),0.4,7124,0.02990566796951421,0.03478237380563297,0.14020623961349588,0.9167602470522178
model uncertainty first (mdl_pred_entropy),0.25,4452,0.02553717240037602,0.028685309802426912,0.10974737326297046,0.926774483378257
boundary p_active first (|p-0.5| ascending),1.0,17809,0.09219934049118213,0.0992915844829492,0.071428450142066,0.779325060362738
boundary p_active first (|p-0.5| ascending),0.95,16919,0.08405775495551171,0.08973606292798529,0.06327788168097503,0.7986878657131036
boundary p_active first (|p-0.5| ascending),0.9,16028,0.07528518734258842,0.08012278679557912,0.06037732393573736,0.8186922884951335
boundary p_active first (|p-0.5| ascending),0.8,14247,0.05899061158521443,0.062354637046584664,0.05394988441448223,0.8584965255843335
boundary p_active first (|p-0.5| ascending),0.75,13357,0.05176893219168555,0.05639606818754372,0.08204713811733721,0.8657632701954031
boundary p_active first (|p-0.5| ascending),0.6,10685,0.03507228023004432,0.03997082240340776,0.12255294934701688,0.9078146934955545
boundary p_active first (|p-0.5| ascending),0.5,8905,0.032460583383186054,0.03725002110962979,0.12857543657084225,0.9144300954519933
boundary p_active first (|p-0.5| ascending),0.4,7124,0.02990566796951421,0.03478237380563297,0.14020623961349588,0.9167602470522178
boundary p_active first (|p-0.5| ascending),0.25,4452,0.02553717240037602,0.028685309802426912,0.10974737326297046,0.926774483378257
low p_active first (-p_active),1.0,17809,0.09219934049118214,0.09929158448294921,0.071428450142066,0.779325060362738
low p_active first (-p_active),0.95,16919,0.09283197693634357,0.09830982429828117,0.05572024363828887,0.8155919380578048
low p_active first (-p_active),0.9,16028,0.08744334154920139,0.09323788412367397,0.06214794156832748,0.8470801098078363
low p_active first (-p_active),0.8,14247,0.07034073932654471,0.07549066313806006,0.06821934789600392,0.9104372850424651
low p_active first (-p_active),0.75,13357,0.05796452075518881,0.06001232613855593,0.03412307962599481,0.9344912779815827
low p_active first (-p_active),0.6,10685,0.035234254318853686,0.037199747748724095,0.05283620316855031,0.9645297145531119
low p_active first (-p_active),0.5,8905,0.03124069402438937,0.03329890827411952,0.061810262149940565,0.9684446939921393
low p_active first (-p_active),0.4,7124,0.02946315766537863,0.031553074411583934,0.06623496395134298,0.9699606962380685
low p_active first (-p_active),0.25,4452,0.025349990959531634,0.0274274060662532,0.07574231050881719,0.9741689128481581
is_fallback first,1.0,17809,0.09219934049118214,0.0992915844829492,0.07142845014206589,0.779325060362738
is_fallback first,0.95,16919,0.09073222831616823,0.09864474645794627,0.08021226092512956,0.7759323837106212
is_fallback first,0.9,16028,0.08963685493908279,0.09720776203816148,0.07788377121681422,0.7793236835537809
is_fallback first,0.8,14247,0.09358599542191927,0.10042849676326668,0.06813306543337772,0.7721625605390608
is_fallback first,0.75,13357,0.095171413020779,0.10206019525999273,0.06749724730258388,0.7655910758403833
is_fallback first,0.6,10685,0.09009710676604049,0.09628131079295489,0.06423057575745961,0.783528310715957
is_fallback first,0.5,8905,0.0953671309860612,0.10281950031376895,0.07248011617412786,0.7764177428411005
is_fallback first,0.4,7124,0.09801598231182644,0.1069992727294078,0.08395655585715378,0.7714766984839978
is_fallback first,0.25,4452,0.10062713036656562,0.11103644690405765,0.09374684464179872,0.7668463611859838
