candidate,n,brier_model,brier_R3,brier_R3_plus_candidate,bss_model_vs_R3,bss_model_vs_R3plus,share_of_gap_explained_by_candidate
pl_dnp_frac5,16832,0.08934108812154565,0.09709343911152532,0.09187181905567046,0.07984423109243277,0.027546324434822633,0.6735531018402136
pl_missed_any_last3,17320,0.09059918908817298,0.0978434442638568,0.09313295265969931,0.07403924943758178,0.027205876106865312,0.6502382218628624
pl_dnp_frac10,16345,0.08843020962193496,0.09652270224195429,0.09233937179233566,0.08384030318311864,0.04233472780378145,0.5169396681647686
pl_min_per_opp_prior,17320,0.09059918908817298,0.0978434442638568,0.09510218088501547,0.07403924943758178,0.04734898563774148,0.37840513791434277
pl_switches5,16345,0.08843020962193496,0.09652270224195429,0.0942715006091666,0.08384030318311864,0.06196242713318656,0.27818395870002205
pl_absence_spells,17809,0.09219934049118214,0.09929158448294921,0.09797817329050444,0.071428450142066,0.05898081792347887,0.18518979239425823
pl_min_cv5,15254,0.08490694825887336,0.09151353130333208,0.09038174825318168,0.07219241734383997,0.06057417675714838,0.171311409019475
pl_switches,17809,0.09219934049118214,0.09929158448294921,0.09808460457899908,0.071428450142066,0.06000191480689343,0.1701830768021009
pl_days_since_appear,16583,0.08788450271230784,0.0941433366461463,0.09320064176603222,0.06648196417090402,0.0570397258322517,0.15061829249333206
