dec,candidate,n,cand_med,obs_rate,mean_pred,brier_model,brier_R3,brier_R2,calib_gap,bss_vs_R3,bss_vs_R2
0,mdl_n_prior_games,1781,1.0,0.553621560920831,0.5168560850641827,0.13910718747282877,0.14446190734692144,0.2627946145796067,0.036765475856648355,0.037066656341684934,0.47066195517225895
1,mdl_n_prior_games,1781,4.0,0.6793935991016283,0.6631588510404257,0.10718720108832887,0.11771096381114671,0.19117391263866157,0.01623474806120262,0.08940341988620504,0.4393209847050432
2,mdl_n_prior_games,1781,7.0,0.7580011229646266,0.7256868716819073,0.11379792062856206,0.12024905894831608,0.15583489317668126,0.032314251282719364,0.05364813975406468,0.269753273424193
3,mdl_n_prior_games,1781,10.0,0.7170129140932061,0.7185194879779156,0.10917420555857481,0.12147505278090039,0.18467609955419684,-0.001506573884709539,0.10126233280599695,0.4088341381363456
4,mdl_n_prior_games,1781,13.0,0.7720381807973049,0.764009189140031,0.09646988686120136,0.10336988309527667,0.15905281702900423,0.008028991657273887,0.06675054694330584,0.3934726296384332
5,mdl_n_prior_games,1780,16.0,0.7702247191011236,0.7689813425463586,0.09511942601451766,0.10199604154244456,0.1541239983142369,0.001243376554764919,0.0674204157723638,0.3828383181405488
6,mdl_n_prior_games,1781,21.0,0.8489612577203818,0.8257892468313639,0.08192248927999354,0.08860180305446178,0.12017081286241116,0.02317201088901788,0.07538575451294816,0.3182829729728949
7,mdl_n_prior_games,1781,25.0,0.8596294216732173,0.8440158806440206,0.0767436844872856,0.0838896957261274,0.11836622088403162,0.015613541029196765,0.08518342064526263,0.35164201480695567
8,mdl_n_prior_games,1781,30.0,0.8944413250982594,0.8804684454437811,0.058119868977161385,0.06413457211317214,0.09219736072681504,0.013972879654478243,0.09378254095774097,0.3696146124033508
9,mdl_n_prior_games,1781,37.0,0.939921392476137,0.9189469023786979,0.044353174119742024,0.04702838491553102,0.060727197852490165,0.020974490097439125,0.05688502381261906,0.2696324597838613
0,mdl_pred_dist_from_half,1781,0.14143107439890917,0.42504211117349805,0.47865840025730866,0.24441722183068815,0.2718000007284114,0.3604766069633641,-0.05361628908381061,0.10074605895636002,0.3219609341930787
1,mdl_pred_dist_from_half,1781,0.25835282346522404,0.5002807411566536,0.49889302889281995,0.20563264428548966,0.22225800828571035,0.3030386107336591,0.001387712263833607,0.0748020920751209,0.3214308771161165
2,mdl_pred_dist_from_half,1781,0.306005778375831,0.6749017405951713,0.6457092544871345,0.15788215062546138,0.15102992890827563,0.2238934910814872,0.02919248610803682,-0.04536995923071174,0.29483367353453194
3,mdl_pred_dist_from_half,1781,0.3621511716996346,0.7462099943851769,0.7035054651896387,0.10359563095596841,0.10796966492792864,0.1745860177316774,0.04270452919553813,0.040511693491685485,0.40662126153088995
4,mdl_pred_dist_from_half,1781,0.39993511412172666,0.8742279618192027,0.8268843340283494,0.048115428854689286,0.05356601634601608,0.09590027963239954,0.047343627790853327,0.10175457992093473,0.4982764488370306
