forecast,k,n,corr
v15 p_active,-5,15374,0.5594788793620342
v15 p_active,-4,15859,0.6006352002702475
v15 p_active,-3,16345,0.6423823454301372
v15 p_active,-2,16832,0.7113903214165749
v15 p_active,-1,17320,0.912516277573011
v15 p_active,0,17809,0.682292015655125
v15 p_active,1,17320,0.6066493496814828
v15 p_active,2,16832,0.5618028879371139
v15 p_active,3,16345,0.5224036365593306
v15 p_active,4,15859,0.48449362563252135
v15 p_active,5,15374,0.46180950567156454
v14 p_active,-5,15374,0.5612661855751554
v14 p_active,-4,15859,0.6014123835907235
v14 p_active,-3,16345,0.6435967631570129
v14 p_active,-2,16832,0.703120867672711
v14 p_active,-1,17320,0.8922346914182682
v14 p_active,0,17809,0.6677191585454085
v14 p_active,1,17320,0.5930307800869047
v14 p_active,2,16832,0.5480207724396478
v14 p_active,3,16345,0.5113821289106902
v14 p_active,4,15859,0.47563181271277194
v14 p_active,5,15374,0.45449315757907094
LEAK-FREE control,-5,15374,0.6698765070728615
LEAK-FREE control,-4,15859,0.6702555006111813
LEAK-FREE control,-3,16345,0.6637303984980062
LEAK-FREE control,-2,16832,0.6482300108823635
LEAK-FREE control,-1,17320,0.621119961282329
LEAK-FREE control,0,17809,0.5422823874147621
LEAK-FREE control,1,17320,0.5070013597464232
LEAK-FREE control,2,16832,0.47798994585477217
LEAK-FREE control,3,16345,0.45389484253129025
LEAK-FREE control,4,15859,0.4336637807584351
LEAK-FREE control,5,15374,0.4169226748328462
LEAKY-10% control,-5,15374,0.6734205535047445
LEAKY-10% control,-4,15859,0.6820758511540557
LEAKY-10% control,-3,16345,0.683993348939689
LEAKY-10% control,-2,16832,0.6829586904182059
LEAKY-10% control,-1,17320,0.6752591166047679
LEAKY-10% control,0,17809,0.6845037013096998
LEAKY-10% control,1,17320,0.5781513610236599
LEAKY-10% control,2,16832,0.5380131982137629
LEAKY-10% control,3,16345,0.504804647822553
LEAKY-10% control,4,15859,0.47954817861515364
LEAKY-10% control,5,15374,0.45635374093213793
LEAKY-50% control,-5,15374,0.5695517210127278
LEAKY-50% control,-4,15859,0.6000853086640533
LEAKY-50% control,-3,16345,0.6249687217289513
LEAKY-50% control,-2,16832,0.6634611147285087
LEAKY-50% control,-1,17320,0.7087982033927815
LEAKY-50% control,0,17809,0.9567097071119455
LEAKY-50% control,1,17320,0.6711292499268898
LEAKY-50% control,2,16832,0.6063870607133668
LEAKY-50% control,3,16345,0.5533613624190729
LEAKY-50% control,4,15859,0.518340531324874
LEAKY-50% control,5,15374,0.48118050010195085
