family,cells,max_abs_t,n_familywise
A_depth_experience,60,39.11028191137465,18
B_absence_return,42,50.82842335018173,32
C_boundary_intermittency,36,42.46969450161112,16
D_role_volume,36,36.26013711277299,6
E_roster_churn,30,8.011572479160881,0
F_schedule,30,4.432278921900042,0
G_season_phase_contention,30,7.246771800435801,0
H_model_own_state,42,54.51101834605048,11
Z_negative_control,12,3.1448534471968848,0
