forecast,bin,lo,hi,n,mean_pred,obs_rate,gap
v15_p_active,0,0.0,0.05,232,0.03723942223222215,0.03879310344827586,0.0015536812160537108
v15_p_active,1,0.05,0.1,350,0.07039196530492398,0.08285714285714285,0.012465177552218876
v15_p_active,2,0.1,0.15000000000000002,367,0.1254505821281998,0.1362397820163488,0.010789199888148998
v15_p_active,3,0.15000000000000002,0.2,561,0.1763271922346795,0.23885918003565063,0.06253198780097113
v15_p_active,4,0.2,0.25,594,0.22646446097189293,0.28619528619528617,0.059730825223393236
v15_p_active,5,0.25,0.30000000000000004,498,0.27524541258839086,0.3072289156626506,0.031983503074259734
v15_p_active,6,0.30000000000000004,0.35000000000000003,312,0.32383092227631594,0.3717948717948718,0.04796394951855587
v15_p_active,7,0.35000000000000003,0.4,267,0.37311994615927147,0.3445692883895131,-0.028550657769758347
v15_p_active,8,0.4,0.45,201,0.4235699165484062,0.4079601990049751,-0.0156097175434311
v15_p_active,9,0.45,0.5,119,0.46983951340783,0.3697478991596639,-0.1000916142481661
v15_p_active,10,0.5,0.55,68,0.5243950493866716,0.45588235294117646,-0.06851269644549512
v15_p_active,11,0.55,0.6000000000000001,121,0.5777999924937587,0.4132231404958678,-0.1645768519978909
v15_p_active,12,0.6000000000000001,0.65,201,0.6282853001472901,0.5074626865671642,-0.12082261358012591
v15_p_active,13,0.65,0.7000000000000001,250,0.6765258199029341,0.548,-0.1285258199029341
v15_p_active,14,0.7000000000000001,0.75,425,0.7276731440886536,0.6517647058823529,-0.07590843820630067
v15_p_active,15,0.75,0.8,623,0.7749658056955283,0.7479935794542536,-0.02697222624127471
v15_p_active,16,0.8,0.8500000000000001,1580,0.8167218472359503,0.8348101265822785,0.018088279346328173
v15_p_active,17,0.8500000000000001,0.9,1831,0.878439143209678,0.9300928454396504,0.051653702229972454
v15_p_active,18,0.9,0.9500000000000001,4884,0.9279782977371008,0.9621212121212122,0.03414291438411132
v15_p_active,19,0.9500000000000001,1.0,4325,0.9632898547125192,0.9747976878612716,0.011507833148752478
v14_p_active,0,0.0,0.05,250,0.03525957445544492,0.036,0.0007404255445550775
v14_p_active,1,0.05,0.1,277,0.07362775480287291,0.07581227436823104,0.002184519565358131
v14_p_active,2,0.1,0.15000000000000002,371,0.12795186892327423,0.1320754716981132,0.004123602774838975
v14_p_active,3,0.15000000000000002,0.2,428,0.17474521366630863,0.23598130841121495,0.06123609474490632
v14_p_active,4,0.2,0.25,435,0.2245645425760494,0.2689655172413793,0.044400974665329884
v14_p_active,5,0.25,0.30000000000000004,447,0.2761161241768425,0.2796420581655481,0.0035259339887055985
v14_p_active,6,0.30000000000000004,0.35000000000000003,365,0.3245090987484004,0.336986301369863,0.012477202621462624
v14_p_active,7,0.35000000000000003,0.4,285,0.37331453350195554,0.34035087719298246,-0.03296365630897308
v14_p_active,8,0.4,0.45,207,0.4247017308248292,0.40096618357487923,-0.023735547249949973
v14_p_active,9,0.45,0.5,171,0.4720779632023358,0.38011695906432746,-0.09196100413800834
v14_p_active,10,0.5,0.55,113,0.524716903493801,0.3893805309734513,-0.13533637252034963
v14_p_active,11,0.55,0.6000000000000001,131,0.5754984958814835,0.48091603053435117,-0.09458246534713233
v14_p_active,12,0.6000000000000001,0.65,156,0.627037996606829,0.4166666666666667,-0.21037132994016233
v14_p_active,13,0.65,0.7000000000000001,189,0.6768758160197452,0.5238095238095238,-0.1530662922102214
v14_p_active,14,0.7000000000000001,0.75,301,0.7264196262594833,0.6245847176079734,-0.1018349086515099
v14_p_active,15,0.75,0.8,468,0.7765139618471284,0.6773504273504274,-0.09916353449670101
v14_p_active,16,0.8,0.8500000000000001,2173,0.8086770725227037,0.8021168890934193,-0.0065601834292844385
v14_p_active,17,0.8500000000000001,0.9,1268,0.8790438351103527,0.8935331230283912,0.014489287918038496
v14_p_active,18,0.9,0.9500000000000001,4529,0.9303186225230881,0.9558401413115478,0.025521518788459763
v14_p_active,19,0.9500000000000001,1.0,5245,0.963587724574892,0.9738798856053384,0.0102921610304465
R2_shrunk_career_rate,1,0.05,0.1,3,0.09662136852900716,0.3333333333333333,0.23671196480432616
R2_shrunk_career_rate,2,0.1,0.15000000000000002,49,0.12855424658440798,0.24489795918367346,0.11634371259926549
R2_shrunk_career_rate,3,0.15000000000000002,0.2,61,0.17423568214845594,0.3114754098360656,0.13723972768760964
R2_shrunk_career_rate,4,0.2,0.25,54,0.22455978843730323,0.42592592592592593,0.2013661374886227
R2_shrunk_career_rate,5,0.25,0.30000000000000004,84,0.2757513696011066,0.4642857142857143,0.18853434468460772
R2_shrunk_career_rate,6,0.30000000000000004,0.35000000000000003,116,0.3281100850512556,0.5258620689655172,0.19775198391426163
R2_shrunk_career_rate,7,0.35000000000000003,0.4,231,0.37589774566190065,0.44155844155844154,0.06566069589654089
R2_shrunk_career_rate,8,0.4,0.45,195,0.4264097749755148,0.47692307692307695,0.05051330194756215
R2_shrunk_career_rate,9,0.45,0.5,332,0.4797190684767514,0.4759036144578313,-0.0038154540189200836
R2_shrunk_career_rate,10,0.5,0.55,497,0.5278427946474797,0.5311871227364185,0.0033443280889388083
R2_shrunk_career_rate,11,0.55,0.6000000000000001,866,0.5757589790065117,0.5750577367205543,-0.0007012422859574707
R2_shrunk_career_rate,12,0.6000000000000001,0.65,874,0.6264574072902228,0.5903890160183066,-0.03606839127191619
R2_shrunk_career_rate,13,0.65,0.7000000000000001,1023,0.6755639731823287,0.6383186705767351,-0.037245302605593666
R2_shrunk_career_rate,14,0.7000000000000001,0.75,1085,0.724555913888763,0.680184331797235,-0.04437158209152792
R2_shrunk_career_rate,15,0.75,0.8,1418,0.7777261824903478,0.7524682651622003,-0.025257917328147417
R2_shrunk_career_rate,16,0.8,0.8500000000000001,1837,0.8264117048300796,0.7724550898203593,-0.05395661500972038
R2_shrunk_career_rate,17,0.8500000000000001,0.9,2441,0.874825640623452,0.8308070462925031,-0.0440185943309489
R2_shrunk_career_rate,18,0.9,0.9500000000000001,2956,0.9275083722974857,0.9059539918809202,-0.021554380416565544
R2_shrunk_career_rate,19,0.9500000000000001,1.0,3687,0.9715436335507031,0.951993490642799,-0.019550142907904022
R3_rich_walkforward_lookup,1,0.05,0.1,170,0.07625646834314218,0.14705882352941177,0.0708023551862696
R3_rich_walkforward_lookup,2,0.1,0.15000000000000002,574,0.12131630816049327,0.10452961672473868,-0.01678669143575459
R3_rich_walkforward_lookup,3,0.15000000000000002,0.2,395,0.16076553050668496,0.10632911392405063,-0.05443641658263433
R3_rich_walkforward_lookup,4,0.2,0.25,242,0.24009537170520726,0.23140495867768596,-0.008690413027521299
R3_rich_walkforward_lookup,5,0.25,0.30000000000000004,107,0.2714084643065181,0.2523364485981308,-0.01907201570838729
R3_rich_walkforward_lookup,6,0.30000000000000004,0.35000000000000003,409,0.31605628265507413,0.28361858190709044,-0.03243770074798369
R3_rich_walkforward_lookup,7,0.35000000000000003,0.4,383,0.36302631308963984,0.1906005221932115,-0.17242579089642834
R3_rich_walkforward_lookup,8,0.4,0.45,542,0.41846551141337995,0.4188191881918819,0.00035367677850195456
R3_rich_walkforward_lookup,9,0.45,0.5,280,0.4649432351054675,0.40714285714285714,-0.05780037796261034
R3_rich_walkforward_lookup,10,0.5,0.55,316,0.521833035440856,0.49050632911392406,-0.03132670632693196
R3_rich_walkforward_lookup,11,0.55,0.6000000000000001,129,0.5699860056777263,0.29457364341085274,-0.27541236226687354
R3_rich_walkforward_lookup,12,0.6000000000000001,0.65,72,0.620104121380075,0.3888888888888889,-0.23121523249118608
R3_rich_walkforward_lookup,13,0.65,0.7000000000000001,8,0.676686716599989,0.75,0.07331328340001098
R3_rich_walkforward_lookup,14,0.7000000000000001,0.75,70,0.7424189782001962,0.7714285714285715,0.029009593228375263
R3_rich_walkforward_lookup,15,0.75,0.8,322,0.7738651879634986,0.6863354037267081,-0.08752978423679048
R3_rich_walkforward_lookup,16,0.8,0.8500000000000001,2013,0.8233726641076365,0.7819175360158966,-0.0414551280917399
R3_rich_walkforward_lookup,17,0.8500000000000001,0.9,1967,0.8761753124179664,0.9267920691408236,0.05061675672285715
R3_rich_walkforward_lookup,18,0.9,0.9500000000000001,5252,0.9265845257192293,0.9219345011424219,-0.00465002457680741
R3_rich_walkforward_lookup,19,0.9500000000000001,1.0,4558,0.9625198582827217,0.9648968845985081,0.0023770263157864013
