candidate,family,dependent,beta,t,n,var_share_between,scheme_between,p_familywise,p_between,nullmean_between,nullsd_between,p_within,nullmean_within,nullsd_within,p_row,nullmean_row,nullsd_row,within_null_degenerate,inflation_between_over_row
pl_opps_prior,A_depth_experience,signed_err,-0.0007639107950098,-4.0978552485448105,17809,0.09342543305978,player_between,1.0,0.08791208791208792,-3.069425038541025,0.772717738072701,0.03596403596403597,2.4270223139198444,0.9417584431892678,0.000999000999000999,0.04878522572347252,1.0229227412400335,False,0.7554018567775485
pl_opps_prior,A_depth_experience,brier,-0.0009880562214825,-8.008083233620084,17809,0.09342543305978,player_between,0.1528471528471528,0.03196803196803197,-5.849529348411589,1.1666043643140604,0.000999000999000999,-4.371892051605946,0.8508091710334792,0.000999000999000999,-0.0319934179324649,0.9545637277594848,True,1.2221335573396124
pl_opps_prior,A_depth_experience,skill_vs_R1,0.0005793961430797,5.394068367468575,17809,0.09342543305978,player_between,0.956043956043956,0.5784215784215784,5.5475461180564745,1.184624523303084,0.000999000999000999,-2.387433572101809,0.8723249022618635,0.000999000999000999,-0.015316100942243312,1.0491577092971238,False,1.1291195907016833
pl_opps_prior,A_depth_experience,skill_vs_R2,-0.0001072291066787,-0.8139699329731013,17809,0.09342543305978,player_between,1.0,0.6453546453546454,0.9217720282280595,1.2693623059590189,1.0,-4.108129237766672,0.8354013461608453,0.4095904095904096,-0.02696001989065683,1.0198127070121599,False,1.2447014017681617
pl_opps_prior,A_depth_experience,skill_vs_R3,0.0002525164879059,3.5183094867771465,17809,0.09342543305978,player_between,1.0,0.14685314685314685,2.761008796381097,0.7286354741079165,0.001998001998001998,-0.9637272531759916,0.8627493993464772,0.001998001998001998,-0.022079044536785265,0.9848467589988273,False,0.7398465471406238
pl_opps_prior,A_depth_experience,llskill_vs_R3,0.0007549786886585,3.643403553204681,17809,0.09342543305978,player_between,1.0,0.057942057942057944,2.5114003757535337,0.7564593171024029,0.001998001998001998,-1.165481994455602,0.8868199323881476,0.000999000999000999,-0.0417247966889951,1.0013000820500617,False,0.7554771348401651
pl_games_prior,A_depth_experience,signed_err,-0.0001366891640447,-0.6888623808248702,17809,0.2630608176459592,player_between,1.0,0.97002997002997,-2.607489720702096,0.9939245467530289,1.0,8.819360232094347,0.7033987994401868,0.48951048951048953,0.04226522607073522,1.0067015938314328,True,0.9873080094869271
pl_games_prior,A_depth_experience,brier,-0.0022664024710422,-17.379586482816663,17809,0.2630608176459592,player_between,0.0009990009990009,0.000999000999000999,-5.130677622734195,1.5431033133355316,0.10789210789210789,-16.47371304720811,0.6968622273425977,0.000999000999000999,-0.03361534814028634,0.9577711299321618,True,1.611139932193225
pl_games_prior,A_depth_experience,skill_vs_R1,-0.0003297338709112,-2.883596982057307,17809,0.2630608176459592,player_between,1.0,0.8951048951048951,4.745329659983326,1.4906647177186279,1.0,-8.684699199774812,0.6599268149904856,0.007992007992007992,-0.022086866147862396,1.0476450709402243,True,1.4228718857817078
pl_games_prior,A_depth_experience,skill_vs_R2,-0.0021593225390222,-15.50966837359394,17809,0.2630608176459592,player_between,0.0009990009990009,0.000999000999000999,0.6927260779270517,1.7470513433280814,1.0,-18.14327386599768,0.6138824939884722,0.000999000999000999,-0.03245810084819496,1.0230098043526823,True,1.7077562071201675
pl_games_prior,A_depth_experience,skill_vs_R3,-9.27237450306792e-05,-1.2139076506652962,17809,0.2630608176459592,player_between,1.0,0.8981018981018981,2.3861363061319203,0.9042367756147449,1.0,-5.8131957368016955,0.6154648808715716,0.2047952047952048,0.0017285847912838275,0.9710608588261134,True,0.9311844539876212
pl_games_prior,A_depth_experience,llskill_vs_R3,-0.0002307763470412,-1.0464024060305896,17809,0.2630608176459592,player_between,1.0,0.8771228771228772,2.178207842376982,0.9479448724915813,1.0,-6.412744300851106,0.657860164744787,0.27472527472527475,-0.012707667073971052,0.9745325001998516,True,0.9727175566717192
pl_prior_rate_inseason,A_depth_experience,signed_err,0.0564916217927203,6.670804566113946,17320,0.8087428807618681,player_between,0.6203796203796204,0.000999000999000999,0.1796425395851798,1.3668338579166412,1.0,13.749317565527967,0.5176855151835771,0.000999000999000999,-0.012342289248313225,1.0157436136400364,True,1.345648488025863
pl_prior_rate_inseason,A_depth_experience,brier,-0.1489853693311756,-27.022896376992808,17320,0.8087428807618681,player_between,0.0009990009990009,0.000999000999000999,0.24955783900220105,2.3661991600358157,0.3036963036963037,-26.754493406865155,0.5276120798269438,0.000999000999000999,0.006174493795928669,0.9910842425037254,True,2.387485400896101
pl_prior_rate_inseason,A_depth_experience,skill_vs_R1,-0.0786087250606838,-16.23457975867852,17320,0.8087428807618681,player_between,0.0009990009990009,0.000999000999000999,-0.48153791721947387,1.835837146050331,0.000999000999000999,-14.006374626241223,0.5635484640316322,0.000999000999000999,-0.052238565668394146,0.9941516108696699,True,1.846636997795906
