candidate,family,calib_gap_min,calib_gap_max,calib_gap_spread,bss_vs_R3_min,bss_vs_R3_max,bss_vs_R3_spread,bss_vs_R2_min,bss_vs_R2_max,bss_vs_R2_spread,worst_decile_bss_vs_R3,n_min
mdl_pred_dist_from_half,H_model_own_state,-0.05361628908381061,0.047343627790853327,0.10095991687466394,-0.04536995923071174,0.20123336603831998,0.24660332526903173,0.29483367353453194,0.568139623992453,0.27330595045792105,2,1780
mdl_pred_entropy,H_model_own_state,-0.05361628908381061,0.04741971317815297,0.10103600226196358,-0.04536995923071174,0.20123336603831998,0.24660332526903173,0.29483367353453194,0.568139623992453,0.27330595045792105,7,1780
pl_start_mean5,D_role_volume,0.0031808208240541314,0.04986636814673062,0.04668554732267649,-0.04771308435968913,0.16994365668436073,0.21765674104404986,0.24032926656626907,0.5616249357904759,0.3212956692242068,7,1583
pl_days_since_appear,B_absence_return,-0.011197904763267541,0.11472298406517778,0.12592088882844532,-0.042993340135967006,0.16477465215629628,0.20776799229226328,-0.18599561138574305,0.6087757587933786,0.7947713701791217,7,1658
pl_missed_last,B_absence_return,-0.023754463324799524,0.035697986882383015,0.05945245020718254,-0.01563006103354847,0.18842247467647277,0.20405253571002124,0.18762857468633287,0.5559028046795689,0.368274229993236,9,1732
pl_prior_season_games,A_depth_experience,-0.0037847581465357827,0.02808441061367295,0.03186916876020873,-0.05318134765841487,0.15080569549991218,0.20398704315832705,0.15601994398848895,0.5907788454801473,0.4347589014916583,6,1780
pl_switches,C_boundary_intermittency,-0.023237757325288655,0.03830642544092988,0.061544182766218536,-0.07879101384062492,0.12146890671269783,0.20025992055332276,0.20601907411476095,0.5726478675294897,0.36662879341472876,5,1780
pl_min_per_opp_prior,A_depth_experience,-0.00835421711366402,0.030120121697120417,0.038474338810784436,-0.058473179735067715,0.1286369745094501,0.18711015424451782,0.2808912030187659,0.46096365924212623,0.18007245622336032,4,1732
pl_prior_rate_career,A_depth_experience,-0.005335698277669554,0.03726018281495547,0.04259588109262502,-0.06143966634296394,0.12483750093065205,0.18627716727361598,-0.07582693360380066,0.4936760822478444,0.5695030158516451,9,1770
pl_boundary_score_career,C_boundary_intermittency,-0.0006489374427590677,0.032441021271045645,0.03308995871380471,-0.0791243898796059,0.10594026481849095,0.18506465469809685,-0.05636432511450318,0.4837959263140662,0.5401602514285694,0,1770
pl_career_games_prior,A_depth_experience,0.0006343123993205468,0.032087019797383265,0.03145270739806272,-0.0417181457094673,0.1406400191017655,0.1823581648112328,0.18509831795058396,0.5962524741085449,0.4111541561579609,8,1780
pl_switches5,C_boundary_intermittency,-0.0071868325345338935,0.03210358601452157,0.03929041854905546,-0.004496045805034488,0.17178352800536778,0.17627957381040227,0.148889536198204,0.6466101166573186,0.4977205804591146,3,1634
pl_min_cv5,D_role_volume,-0.01181964788537515,0.057497635423639615,0.06931728330901477,-0.033208780672935756,0.1350412067450013,0.16824998741793706,0.17390567459905393,0.5432607562104385,0.36935508161138453,5,1525
pl_career_opps_prior,A_depth_experience,-0.006231737586512298,0.03176228945222104,0.037994027038733336,-0.016329378209057,0.15127833263665358,0.16760771084571058,0.1507309806544559,0.5502002758645577,0.39946929521010177,0,1780
pl_min_mean5,D_role_volume,-0.02477150922824789,0.044865009576158354,0.06963651880440624,-0.03792999368039385,0.12398980961157591,0.16191980329196975,0.08614084506964492,0.548835999092732,0.46269515402308703,7,1583
pl_prior_rate_inseason,A_depth_experience,-0.01390556921798608,0.037581151736163165,0.051486720954149245,0.0010856247133831376,0.15277054935799583,0.1516849246446127,0.1904553877666182,0.6252972265471832,0.43484183878056504,8,1732
pl_dnp_frac10,B_absence_return,-0.03798687496742495,0.03725003635586388,0.07523691132328883,0.005045762503715023,0.15619124201612944,0.15114547951241442,0.2588882175836955,0.6953572024675676,0.4364689848838721,6,1634
pl_is_rookie_window,A_depth_experience,-0.002187743333709191,0.03136206404766306,0.033549807381372254,0.001497260452040683,0.14888550616990204,0.14738824571786135,0.15771508857872607,0.5530408330153334,0.3953257444366073,3,1780
pl_dnp_frac5,B_absence_return,-0.05895147934044778,0.03988945770285934,0.09884093704330713,0.007802843181039298,0.1548340152037695,0.1470311720227302,0.1748973012646562,0.7181376124310814,0.5432403111664252,2,1683
pl_consec_absences,B_absence_return,-0.06616733302773611,0.05964421862282232,0.12581155165055843,-0.002661929339099256,0.14394115456141743,0.14660308390051668,0.16894969656676906,0.7195036274420027,0.5505539308752336,8,1780
mdl_pred_point,H_model_own_state,-0.0676194566195133,0.058067617134062166,0.12568707375357546,-0.018492521865788314,0.12665364550004155,0.14514616736582986,0.16231359241865806,0.6522972389346651,0.489983646516007,3,1780
pl_minutes_prior,A_depth_experience,-0.0033744672028319656,0.02635707481645716,0.029731542019289126,-0.004558948981068234,0.1338398587046674,0.13839880768573565,0.2848564945305301,0.5151429948965376,0.2302865003660075,6,1780
pl_absence_spells,B_absence_return,-0.03200492979097769,0.03991912591907132,0.071924055710049,0.005130424521243349,0.1364275848460772,0.13129716032483385,0.22008158337502648,0.5915938914097163,0.3715123080346898,6,1780
pl_switch_rate,C_boundary_intermittency,-0.009243070040055201,0.03157010861513354,0.04081317865518874,-0.004199701969777481,0.12366140553193672,0.1278611075017142,0.11289823992540637,0.5815625726974002,0.4686643327719938,2,1732
pl_boundary_score,C_boundary_intermittency,-0.0072314354872951014,0.03157010861513354,0.03880154410242864,-0.004199701969777481,0.12366140553193672,0.1278611075017142,0.30452327129950785,0.4914630043393904,0.18693973303988254,2,1732
pl_missed_any_last3,B_absence_return,-0.025415406070455893,0.040043308865771676,0.06545871493622757,0.0117112297688583,0.1221244232188422,0.1104131934499839,0.21612338581332036,0.4844487948883448,0.26832540907502445,5,1732
pl_run_length,C_boundary_intermittency,-0.00337000740371729,0.03656548403903592,0.03993549144275321,0.0035588240071297017,0.09918053881429678,0.09562171480716708,0.1733313718949674,0.5856108538585404,0.412279481963573,6,1780
pl_usg_mean5,D_role_volume,0.0012431035407671764,0.04687328142843794,0.045630177887670764,0.026496025143452173,0.11436725743306175,0.08787123228960958,0.19771958926641586,0.4547074872868654,0.2569878980204495,3,1583
pl_games_prior,A_depth_experience,-0.0022686520204185934,0.04115944302060237,0.043428095041020964,0.02819367673373896,0.10593196270681404,0.07773828597307508,0.2727615871456107,0.4849007996163478,0.21213921247073708,0,1780
mdl_n_prior_games,H_model_own_state,-0.001506573884709539,0.036765475856648355,0.038272049741357894,0.037066656341684934,0.10126233280599695,0.06419567646431201,0.2696324597838613,0.47066195517225895,0.20102949538839765,0,1780
