stat,n,exact,rounding_boundary,mismatch
fgm,2132,2132,0,0
fga,2132,2132,0,0
fg_pct,2132,2132,0,0
fg3m,2132,2132,0,0
fg3a,2132,2132,0,0
fg3_pct,2132,2132,0,0
ftm,2132,2132,0,0
fta,2132,2132,0,0
ft_pct,2132,2132,0,0
oreb,2132,2132,0,0
dreb,2132,2132,0,0
reb,2132,2132,0,0
ast,2132,2132,0,0
stl,2132,2131,0,1
blk,2132,2132,0,0
tov,2132,1372,0,760
pf,2132,2132,0,0
pts,2132,2132,0,0
plus_minus,2132,2132,0,0
minutes(team_min),2132,1928,204,0
