game_id,team_id,drive_paint,points_paint
1022300001,1611661323,,32
1022300001,1611661325,,26
1022300002,1611661313,,32
1022300002,1611661322,,38
1022300003,1611661324,,26
1022300003,1611661329,,36
1022300004,1611661317,,24
1022300004,1611661320,,32
1022300005,1611661319,,52
1022300005,1611661328,,34
1022300006,1611661321,,28
1022300006,1611661330,,32
1022300007,1611661322,,38
1022300007,1611661323,,30
1022300008,1611661313,,30
1022300008,1611661325,,34
1022300009,1611661317,,28
1022300009,1611661329,,36
1022300010,1611661322,,26
1022300010,1611661323,,40
1022300011,1611661324,,42
1022300011,1611661330,,38
1022300012,1611661319,,36
1022300012,1611661320,,44
1022300013,1611661317,,24
1022300013,1611661324,,32
1022300014,1611661322,,26
1022300014,1611661329,,30
1022300015,1611661321,,44
1022300015,1611661328,,30
1022300016,1611661313,,40
1022300016,1611661323,,22
1022300017,1611661319,,40
1022300017,1611661320,,24
1022300018,1611661325,,38
1022300018,1611661330,,24
1022300019,1611661321,,34
1022300019,1611661329,,40
1022300020,1611661319,,30
1022300020,1611661324,,30
1022300021,1611661329,,28
1022300021,1611661330,,42
1022300022,1611661323,,38
1022300022,1611661325,,44
1022300023,1611661321,,46
1022300023,1611661324,,34
1022300024,1611661313,,34
1022300024,1611661328,,32
1022300025,1611661323,,50
1022300025,1611661324,,26
1022300026,1611661321,,24
1022300026,1611661322,,16
1022300027,1611661319,,38
1022300027,1611661330,,36
1022300028,1611661313,,42
1022300028,1611661329,,30
1022300029,1611661317,,40
1022300029,1611661320,,48
1022300030,1611661322,,32
1022300030,1611661324,,36
1022300031,1611661320,,44
1022300031,1611661328,,20
1022300032,1611661321,,22
1022300032,1611661323,,40
1022300033,1611661313,,52
1022300033,1611661329,,32
1022300034,1611661319,,44
1022300034,1611661325,,28
1022300035,1611661319,,48
1022300035,1611661323,,34
1022300036,1611661325,,54
1022300036,1611661329,,38
1022300037,1611661320,,32
1022300037,1611661328,,34
1022300038,1611661313,,24
1022300038,1611661324,,40
1022300039,1611661317,,34
1022300039,1611661321,,42
1022300040,1611661319,,24
1022300040,1611661323,,40
1022300041,1611661313,,28
1022300041,1611661330,,40
1022300042,1611661317,,44
1022300042,1611661321,,40
1022300043,1611661324,,32
1022300043,1611661325,,30
1022300044,1611661320,,46
1022300044,1611661329,,44
1022300045,1611661322,,36
1022300045,1611661328,,32
1022300046,1611661313,,38
1022300046,1611661321,,48
1022300047,1611661319,,50
1022300047,1611661329,,28
1022300048,1611661323,,42
1022300048,1611661330,,42
1022300049,1611661317,,28
