nb,m,n,dist,icc,sigma,arm,obs_effect_u,se_true,sd_obs,sd_centred,inflation_sd_obs_over_centred,neff_blocks,q975_over_sd,A_obs,A_ctr,A_oracle,E_inj,E_inj_gridpoint,u80,u80_status,ratio_E_over_A_obs,ratio_E_over_A_ctr,ratio_E_over_A_oracle,ratio_grid_over_interp,type_I,S1_pass,S2_pass,S3_ratio,S3_pass,power_min,power_max
4,4,16,gauss,0.0,1.0,FRESH,0.0,0.26037159215029754,0.1885974628693084,0.16677160745843206,1.1308727291383605,2.174466368914836,1.789276970442004,0.5283718230127114,0.46722483388143143,0.7294531469943913,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,5.110339573426212,True,0.0,0.0025
4,4,16,gauss,0.0,1.0,FRESH,1.0,0.24419837944386272,0.3079039895931328,0.3078241475147459,1.0002593756176426,2.6137706702154953,1.8542738223876711,0.862619198684277,0.8623955143150994,0.6841425168742342,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,197.6274376656964,True,0.0,0.0025
4,4,16,gauss,0.0,1.0,FRESH,3.0,0.2519132977193779,0.4573362790722396,0.031724817986954555,14.415725860438322,3.926280988566662,2.0225403111209137,1.2812664594046006,0.08887977419998208,0.7057565161911434,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.8339351413863398,True,0.0,0.0125
4,4,16,gauss,0.3,1.0,FRESH,0.0,0.3535347817051627,0.19651565334198276,0.19651002960971076,1.0000286180419553,1.8631013007181192,1.655676738206253,0.5505553066680988,0.5505395513041216,0.9904577414034584,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,391.11325094330266,True,0.0,0.005
4,4,16,gauss,0.3,1.0,FRESH,1.0,0.35091615720676744,0.31621131400806524,0.23010132139908956,1.374226415065326,2.2939551328632284,1.8105892221536435,0.8858928741552855,0.6446484105118684,0.9831214422881216,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.9782939941808102,True,0.0,0.005
4,4,16,gauss,0.3,1.0,FRESH,3.0,0.34041536933708166,0.7559154504346752,0.5456198908522789,1.3854250241022312,1.9820972169204465,1.7229640693264716,2.1177613872060297,1.528600501913382,0.953702592504228,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.2511460454997052,True,0.0,0.005
4,4,16,gauss,0.7,1.0,FRESH,0.0,0.4409633278825923,0.4468034177550745,0.37519373452864024,1.1908605518596898,2.1154455846771434,1.6922340604966235,1.2517577531313504,1.0511371387494206,1.2353962449459523,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.721515875384078,True,0.0,0.005
4,4,16,gauss,0.7,1.0,FRESH,1.0,0.43753861625882867,0.386181178414785,0.26141010677373294,1.4773001058794155,2.6740303647826322,1.8465747368848577,1.0819193967291856,0.7323626339856887,1.2258016242314906,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.1990399168194321,True,0.0,0.0075
4,4,16,gauss,0.7,1.0,FRESH,3.0,0.4485816689573585,0.9378991355814582,0.3305397352829485,2.8374777234531217,2.714640034155087,1.9023003602559283,2.6276041497579796,0.9260351642726793,1.2567396750259014,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.4222592463419909,True,0.0,0.005
4,4,16,t3,0.0,1.0,FRESH,0.0,0.24493550949521173,0.1972146528366159,0.163335157681743,1.207423163731147,1.5384727298010934,1.597256152268595,0.5525136131672707,0.457597327733806,0.6862076493691428,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.2809901248957956,True,0.0,0.005
4,4,16,t3,0.0,1.0,FRESH,1.0,0.25161712736808656,0.244794931505225,0.22097627390936336,1.107788303126295,2.084627130654198,1.70703489561372,0.6858138081810659,0.6190838143403639,0.7049267697775208,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.795616914191917,True,0.0,0.005
