cell,n,n_clusters,mde80_published,H_B_factor,mde80_H_B_corrected,blind_published,blind_after_H_B
A01_opp_efg_allowed|attempts|DECISION,5670,48.0,0.0109617162517073,inf,inf,True,True
A01_opp_efg_allowed|attempts|POOLED,14807,48.0,0.0025351222299794,inf,inf,True,True
A01_opp_efg_allowed|points|DECISION,5670,48.0,0.0082459546837405,inf,inf,True,True
A01_opp_efg_allowed|points|POOLED,14807,48.0,0.0040851432658573,inf,inf,True,True
A01_opp_efg_allowed|ppm|DECISION,5670,48.0,0.0096195858222579,inf,inf,True,True
A01_opp_efg_allowed|ppm|POOLED,14807,48.0,0.0036485541370254,inf,inf,True,True
A02_opp_ts_allowed|attempts|DECISION,5670,48.0,0.0123904760082937,inf,inf,True,True
A02_opp_ts_allowed|attempts|POOLED,14807,48.0,0.0030141225105512,inf,inf,True,True
A02_opp_ts_allowed|points|DECISION,5670,48.0,0.0093200706004751,inf,inf,True,True
A02_opp_ts_allowed|points|POOLED,14807,48.0,0.0049674590878144,inf,inf,True,True
A02_opp_ts_allowed|ppm|DECISION,5670,48.0,0.0096604630928524,inf,inf,True,True
A02_opp_ts_allowed|ppm|POOLED,14807,48.0,0.0039716035664545,inf,inf,True,True
A10_opp_defrtg|attempts|DECISION,5670,48.0,0.0143910975873912,inf,inf,True,True
A10_opp_defrtg|attempts|POOLED,14807,48.0,0.004658446237979,inf,inf,True,True
A10_opp_defrtg|points|DECISION,5670,48.0,0.0094193575652434,inf,inf,True,True
A10_opp_defrtg|points|POOLED,14807,48.0,0.0068062030636683,inf,inf,True,True
A10_opp_defrtg|ppm|DECISION,5670,48.0,0.0085159871440994,inf,inf,True,True
A10_opp_defrtg|ppm|POOLED,14807,48.0,0.0052231567128838,inf,inf,True,True
NC1_noise_x_defrtg|attempts|DECISION,5673,48.0,0.0016794253157901,inf,inf,False,True
NC1_noise_x_defrtg|attempts|POOLED,14852,48.0,0.001679851128782,inf,inf,False,True
NC1_noise_x_defrtg|points|DECISION,5673,48.0,0.0031939836294902,inf,inf,True,True
NC1_noise_x_defrtg|points|POOLED,14852,48.0,0.000923374548204,inf,inf,False,True
NC1_noise_x_defrtg|ppm|DECISION,5673,48.0,0.003660984881274,inf,inf,True,True
NC1_noise_x_defrtg|ppm|POOLED,14852,48.0,0.0012875449717611,inf,inf,False,True
NC2_usage_x_noise|attempts|DECISION,5670,48.0,0.0034011846837197,inf,inf,True,True
NC2_usage_x_noise|attempts|POOLED,14807,48.0,0.0016314977576602,inf,inf,False,True
NC2_usage_x_noise|points|DECISION,5670,48.0,0.004746965424343,inf,inf,True,True
NC2_usage_x_noise|points|POOLED,14807,48.0,0.0015117682581537,inf,inf,False,True
NC2_usage_x_noise|ppm|DECISION,5670,48.0,0.005397975689279,inf,inf,True,True
NC2_usage_x_noise|ppm|POOLED,14807,48.0,0.0023596347624412,inf,inf,True,True
