nb,p_min_theory,type_I_R2000,can_ever_reject
3,0.25,0.0,False
4,0.125,0.0,False
5,0.0625,0.0,False
6,0.03125,0.0275,True
7,0.015625,0.047,True
8,0.0078125,0.0485,True
9,0.00390625,0.0435,True
10,0.001953125,0.0445,True
11,0.0009765625,0.0505,True
12,0.00048828125,0.0465,True
13,0.000244140625,0.0495,True
