case,nb,m,n,t_crit,sqrt_nb,condition_satisfied,max_power_attained,effect_SE_for_80pct_power
E1_I0023 as D103 tests it,48,180,8640,6.974,6.928203230275509,False,0.0,inf
E1_I0023 at the per-cell threshold,48,180,8640,1.645,6.928203230275509,True,1.0,2.7634246741475152
just above the boundary,60,100,6000,6.974,7.745966692414834,True,1.0,20.308204536554953
well above the boundary,200,40,8000,6.974,14.142135623730951,True,1.0,11.48626909668905
"E1_I0033 team-season, two-sided",36,40,1440,1.959964,6.0,True,1.0,3.6744631989688292
"E1_I0035 player-season, two-sided",488,33,16104,1.959964,22.090722034374522,True,1.0,3.6744631989688292
"below the boundary, small t_crit",3,100,300,1.959964,1.7320508075688772,False,0.0,inf
