bucket,team_games,rem_base5_sum,n_est,n_rem,realised_gain,slack_vs_200
none,274,133.06581407137065,6.299270072992701,6.299270072992701,-6.6018846309813455,66.93418592862935
0-15,223,202.35759965122074,10.452914798206278,9.076233183856502,-4.3978836571998,-2.3575996512207382
15-30,201,194.5144928137092,10.63681592039801,8.800995024875622,1.0496033720287443,5.485507186290789
30-45,140,184.1470496031746,10.635714285714286,8.564285714285715,11.018188492063492,15.852950396825406
45+,122,172.87538479052824,11.040983606557377,8.147540983606557,16.753713570127506,27.124615209471756
