screen,response,row_set,n,n_blocks,sst_basis,base,weighting,candidate,arm,primary_null,dr2_RAW,sign_RAW,dr2_PROJ_BUDGET,sign_PROJ_BUDGET,dr2_PROJ_ORACLE,sign_PROJ_ORACLE,SIGN_FLIPS_RAW_to_PROJ_BUDGET,z_RAW,p_RAW,null_mean_RAW,z_PROJ_BUDGET,p_PROJ_BUDGET,null_mean_PROJ_BUDGET,p_PSWAP_RAW,p_PSWAP_PROJ_BUDGET,p_familywise_RAW,p_familywise_PROJ_BUDGET,boot_sd_RAW,mde80_boot_RAW,boot_sd_PROJ_BUDGET,mde80_boot_PROJ_BUDGET,obs_over_bootfloor_PROJ_BUDGET,eval_2023_PROJ_BUDGET,eval_2024_PROJ_BUDGET,disclosed_2022_PROJ_BUDGET,eval_2023_RAW,eval_2024_RAW,disclosed_2022_RAW
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A1_pts_share_prior,FROZEN,N_TGSWAP,0.0033653416676183,+,0.0211097087931738,+,0.0188133259500584,+,no,5.099071407143812,0.0004997501249375,-8.47881900552894e-05,28.485264157041676,0.0004997501249375,-0.0006093420743571,0.0016638935108153,0.0016638935108153,0.000999500249875,0.0004997501249375,0.0012429599733089,0.003480287925265,0.0027132700915861,0.007597156256441,2.778632962205644,0.0257424688309171,0.0166570956394748,0.0310597441821556,0.0040552794671107,0.0027025624981034,0.0037875863120541
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A1_pts_share_prior,UNFROZEN,N_TGSWAP,0.0045013938333743,+,-0.0054559461130306,-,-0.0044662767576524,-,YES,6.775474785703639,0.0004997501249375,-9.160999894980675e-05,-4.918116966395303,0.9975012493753124,-0.0007604170301192,0.0016638935108153,0.9800332778702164,0.0004997501249375,1.0,0.0012769406391882,0.0035754337897271,0.0018545521599259,0.0051927460477927,1.0506861038100985,-0.0052399126648666,-0.0056731743651176,-0.0093084953876507,0.0034175766932774,0.0055571307033089,0.0055702803166322
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A2_fga_share_prior,FROZEN,N_TGSWAP,0.0031407243874338,+,0.0204790190695665,+,0.0182604676138456,+,no,4.797364203292675,0.000999500249875,-8.6674077023706e-05,27.64973476652965,0.0004997501249375,-0.0006011041691108,0.0016638935108153,0.0016638935108153,0.000999500249875,0.0004997501249375,0.0011791741504763,0.0033016876213337,0.0025885649663691,0.0072479819058337,2.8254787795597975,0.0244985368161507,0.0166190255630119,0.0293108397253657,0.0037430709207381,0.0025623904486542,0.0038609531426682
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A2_fga_share_prior,UNFROZEN,N_TGSWAP,0.0042096440448877,+,-0.0047023358690642,-,-0.0038020099437804,-,YES,6.385093825001436,0.0004997501249375,-9.354041654366951e-05,-4.106787556239909,0.9960019990004998,-0.0007543927227751,0.0016638935108153,0.9633943427620631,0.0004997501249375,1.0,0.0012455532226371,0.0034875490233841,0.0017933470816516,0.0050213718286246,0.9364643825534453,-0.0053959959159647,-0.0040379458934483,-0.0079437569334603,0.0030659467622123,0.0053229044347548,0.0058405109344652
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A3_starter_rate_prior,FROZEN,N_TGSWAP,0.0001642761643871,+,0.005088086470668,+,0.0045238599045284,+,no,0.4521246320247283,0.2493753123438281,-9.970030200731444e-05,8.743320001219153,0.0004997501249375,-0.0004398985266414,0.1414309484193011,0.0016638935108153,0.6696651674162919,0.0004997501249375,,,,,,0.0037531372154097,0.0063877690761962,0.0236244177818551,0.0003609878622405,-2.5877005431868835e-05,0.0021802415247485
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A3_starter_rate_prior,UNFROZEN,N_TGSWAP,0.0001620399830457,+,0.0013676409848653,+,0.0012597904359673,+,no,0.4524916781444912,0.2458770614692653,-0.0001022290824194,2.433677445277622,0.0019990004997501,-0.0004870687225801,0.1381031613976705,0.0249584026622296,0.6691654172913544,0.0149925037481259,,,,,,0.0011662532496189,0.0015646024901642,0.0100411866944907,0.0002231732765301,0.0001031102811701,0.0028652281142243
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A4_vac_x_own,FROZEN,N_TGSWAP,0.0031557351178205,+,0.012131574150316,+,0.0098497288804263,+,no,1.2462991034279522,0.0989505247376311,0.0002063639311636,3.5422435148466604,0.000999500249875,0.0034402436375291,0.0016638935108153,0.0016638935108153,0.2273863068465767,0.000999500249875,0.0044167196363655,0.0123668149818236,0.0030940592800368,0.0086633659841032,1.400330330333126,0.0183399500006162,0.0061405406792097,0.0227027735824714,0.0064184140042334,2.4787931266750816e-06,0.0062712946644115
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A4_vac_x_own,UNFROZEN,N_TGSWAP,0.0008767526388242,+,-0.0184040305753468,-,-0.0173044528031765,-,YES,0.4598518849417582,0.3238380809595202,-0.0002180065606957,-5.898240298061734,1.0,-0.0002366723056851,0.0549084858569051,1.0,0.6596701649175413,1.0,0.0046975041365277,0.0131530115822777,0.0022330507083915,0.0062525419834964,2.943447740762762,-0.0289426554004984,-0.0082310796145378,-0.0360080228020753,0.0017952489323426,-1.09567915600024e-05,0.0073183376735334
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A5_opp_defrtg,FROZEN,N_TGBLOCK,-0.0017958306755508,-,-0.0008247171287215,-,-0.0009428992482841,-,no,-2.036278966852558,0.960519740129935,-0.0003237039370681,-2.6434433151364547,0.9875062468765616,2.67106315377998e-05,,,,,,,,,,0.0001096101992203,-0.0017302844684118,-0.0004605305442414,0.001832021288634,-0.0053099165385345,0.0032407904508536
E1_I0051_constraint_sweep,M_level_min,DECISION (n_prior>=8 & prior5_minutes>=24) x CLEAN_2023_24,3167,764,"scored rows, unweighted","B_TUNED prior-minutes EWMA, (h,k) walk-forward on strictly earlier seasons",none,A5_opp_defrtg,UNFROZEN,N_TGBLOCK,-0.0018123669308188,-,-0.0008703213305141,-,-0.0009864230383049,-,no,-2.0652274963296717,0.9620189905047476,-0.0003220835818434,-1.480489929285337,0.9460269865067468,0.0001237813461724,,,,,,,,,,-0.0002678345983967,-0.0014547669717834,-0.002534056822228,0.0018063741880867,-0.0053176590127559,0.0032738787217578
