quantity,mean,sd,cv,n_distinct,mae_best_pretip_assertion,pct_of_total,lands_on_a_rules_lattice
team MINUTES (the rules budget),201.26953828828826,5.8572708755085685,0.029101626233766737,10,1.2698385885885886,0.6309144440773428,YES -- 1776/1776 within 0.0667 of a multiple of 25
realised ROSTER SIZE,9.412725225225225,1.007708992732402,0.10705815463855634,7,0.8415662283905527,8.940728728968246,"NO -- integers 6..12, no rule fixes it"
