h,k,mean_sum,sd_sum,mae_vs_200,p05,p95,frac_within_5
3,0.0,201.56032749445745,17.24781235483536,13.094154678032439,171.85131266353636,227.89289058965582,0.2849099099099099
3,1.0,202.24623744986906,17.11827198986795,13.25962926944364,173.3082212037045,229.75524618951297,0.268018018018018
5,0.0,201.46523673211055,18.032065432898843,13.895251825405106,170.64462464321645,229.14239651409792,0.25731981981981983
5,1.0,202.1604356901765,17.833583285002728,13.953991701328903,171.6414924163353,230.63206046607263,0.24380630630630631
8,0.0,201.38143678863864,18.653216479735036,14.49278118245345,169.17844761800717,230.36660271512395,0.23704954954954954
8,1.0,202.083704861706,18.40007047070655,14.4976781889459,170.8693335869064,231.12238968851307,0.23254504504504506
13,0.0,201.30526320234122,19.124309286272076,14.925365032820311,168.66242311731887,230.96374134504566,0.22635135135135134
13,1.0,202.01318133555029,18.830143565285653,14.88632273209788,170.0884744602965,231.63563745368026,0.21565315315315314
