response,candidate,arm,projection,observed,boot_sd,boot_mean,t,mde80_bootstrap,n_blocks,n_boot
M_level_min,A1_pts_share_prior,FROZEN,RAW,0.0033653416676183647,0.001242959973308953,0.0034282100850326533,2.707522156694476,0.0034802879252650684,764,1000
M_level_min,A1_pts_share_prior,FROZEN,PROJ_BUDGET,0.021109708793173886,0.0027132700915861035,0.021266513708458442,7.780172294175744,0.00759715625644109,764,1000
M_level_min,A1_pts_share_prior,UNFROZEN,RAW,0.00450139383337435,0.001276940639188268,0.00454918607050813,3.5251394585074984,0.00357543378972715,764,1000
M_level_min,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,-0.0054559461130306575,0.0018545521599259982,-0.00546045961476225,-2.941921090668253,0.005192746047792795,764,1000
M_level_min,A2_fga_share_prior,FROZEN,RAW,0.0031407243874338737,0.001179174150476328,0.00317696433186111,2.6634949436138644,0.0033016876213337186,764,1000
M_level_min,A2_fga_share_prior,FROZEN,PROJ_BUDGET,0.020479019069566517,0.0025885649663691824,0.02060824098070336,7.911340582767429,0.00724798190583371,764,1000
M_level_min,A2_fga_share_prior,UNFROZEN,RAW,0.004209644044887787,0.001245553222637182,0.00421924816694507,3.3797383912465833,0.0034875490233841097,764,1000
M_level_min,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,-0.004702335869064286,0.0017933470816516466,-0.004739799309205818,-2.622100271149689,0.00502137182862461,764,1000
M_level_min,A4_vac_x_own,FROZEN,RAW,0.003155735117820536,0.004416719636365598,0.0032912532277934855,0.7144974953441481,0.012366814981823673,764,1000
M_level_min,A4_vac_x_own,FROZEN,PROJ_BUDGET,0.012131574150316012,0.0030940592800368576,0.012275935336111253,3.920924924932756,0.008663365984103201,764,1000
M_level_min,A4_vac_x_own,UNFROZEN,RAW,0.0008767526388242213,0.004697504136527777,0.0009741040993434379,0.18664222815826723,0.013153011582277774,764,1000
M_level_min,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,-0.018404030575346838,0.002233050708391576,-0.01846718356047439,-8.241653674135735,0.006252541983496413,764,1000
