response,row_set,candidate,arm,projection,null,n_draws,observed,null_mean,null_sd,z,p,n_blocks,mde80_analytic,null_centre_flag
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,N_TGSWAP,2000,0.00508808647066808,-0.0004398985266414754,0.0006322523934316419,8.743320001219153,0.0004997501249375312,1776,0.001770306701608597,
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ_BUDGET,N_TGSWAP,2000,0.012131574150316012,0.003440243637529144,0.0024536230996990353,3.5422435148466604,0.0009995002498750624,1776,0.006870144679157298,
M_level_min,DECISION x CLEAN_2023_24,G01_noise,FROZEN,PROJ_BUDGET,N_TGSWAP,2000,-0.000344337871415831,-0.00024250682712336248,0.0004811155823563695,-0.21165609268718455,0.6936531734132934,1776,0.0013471236305978346,
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,FROZEN,PROJ_BUDGET,N_PSWAP,600,0.021109708793173886,-0.00015490264832942042,0.0007334129954943765,28.994047790453084,0.0016638935108153079,48,0.0020535563873842542,
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ_BUDGET,N_PSWAP,600,0.020479019069566517,-0.00016026586018464266,0.0007456146834239247,27.680899248085947,0.0016638935108153079,48,0.002087721113586989,
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,N_PSWAP,600,0.00508808647066808,-0.00011567012132531089,0.0006930501072744655,7.508485371220887,0.0016638935108153079,48,0.0019405403003685034,
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ_BUDGET,N_PSWAP,600,0.012131574150316012,0.0006165501971477843,0.0010265725191288138,11.216961041330318,0.0016638935108153079,48,0.0028744030535606787,
M_level_min,DECISION x CLEAN_2023_24,G01_noise,FROZEN,PROJ_BUDGET,N_PSWAP,600,-0.000344337871415831,-0.00028384081763752224,0.0005531029734053871,-0.1093775602142144,0.6805324459234608,48,0.0015486883255350838,
M_level_min,DECISION x CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ_BUDGET,N_TGBLOCK,2000,-0.0008247171287215916,2.67106315377998e-05,0.00032209041721609254,-2.6434433151364547,0.9875062468765617,335,0.000901853168205059,
M_level_min,DECISION x CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ_BUDGET,N_TGSWAP_VACUOUS_CONTROL,400,-0.0008247171287215916,-0.0008247171287215916,0.0,,1.0,1776,0.0,
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,N_TGSWAP,2000,-0.0054559461130306575,-0.0007604170301192173,0.0009547412383632253,-4.918116966395303,0.9975012493753124,1776,0.0026732754674170306,
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,N_TGSWAP,2000,-0.004702335869064286,-0.0007543927227751028,0.0009613214933143118,-4.106787556239909,0.9960019990004998,1776,0.002691700181280073,
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,N_TGSWAP,2000,0.0013676409848653278,-0.0004870687225801851,0.000762101695540814,2.4336774452776226,0.001999000499750125,1776,0.002133884747514279,
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,N_TGSWAP,2000,-0.018404030575346838,-0.0002366723056851966,0.0030801319294555965,-5.898240298061734,1.0,1776,0.008624369402475669,
M_level_min,DECISION x CLEAN_2023_24,G01_noise,UNFROZEN,PROJ_BUDGET,N_TGSWAP,2000,-0.000316927148629934,-0.0003034448591398093,0.0006071611292238566,-0.022205455588633113,0.6296851574212894,1776,0.0017000511618267984,
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,N_PSWAP,600,-0.0054559461130306575,-0.0008665560602876275,0.001578881866685682,-2.906734284292511,0.9800332778702163,48,0.004420869226719909,
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,N_PSWAP,600,-0.004702335869064286,-0.0008815371749325337,0.0016428177692809957,-2.325759293317106,0.9633943427620633,48,0.004599889753986787,
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,N_PSWAP,600,0.0013676409848653278,-0.0007539779832300231,0.001399664425755198,1.5158054524037916,0.024958402662229616,48,0.003919060392114554,
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,N_PSWAP,600,-0.018404030575346838,-0.0003300255853105892,0.0020620485342884767,-8.765072542908309,1.0,48,0.0057737358960077345,
M_level_min,DECISION x CLEAN_2023_24,G01_noise,UNFROZEN,PROJ_BUDGET,N_PSWAP,600,-0.000316927148629934,-0.0002730665824738099,0.0006861595518567686,-0.06392181823809939,0.6389351081530782,48,0.001921246745198952,
M_level_min,DECISION x CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ_BUDGET,N_TGBLOCK,2000,-0.000870321330514135,0.0001237813461724719,0.0006714687192546326,-1.480489929285337,0.9460269865067467,335,0.0018801124139129711,
M_level_min,DECISION x CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ_BUDGET,N_TGSWAP_VACUOUS_CONTROL,400,-0.000870321330514135,-0.0008703213305141352,2.171119943211031e-19,0.9987492177719091,1.0,1776,6.079135840990887e-19,
