response,projection,candidate,row_set,n,sst,base_r2,oracle_dr2,x_floor_single_cell
M_level_min,RAW,A1_pts_share_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2291152874609419,0.0034711067182501007,3.403045802205981
M_level_min,RAW,A2_fga_share_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2291152874609419,0.0032706699512758566,3.2065391679175064
M_level_min,RAW,A3_starter_rate_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2291152874609419,0.0007612635672195618,0.7463368306074134
M_level_min,RAW,A4_vac_x_own,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2291152874609419,0.005685596848672467,5.574114557522026
M_level_min,RAW,A5_opp_defrtg,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2291152874609419,0.00013583807064258482,0.13317457906135766
M_level_min,RAW,G01_noise,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2291152874609419,3.129183687239837e-05,0.030678271443527808
M_level_min,PROJ_BUDGET,A1_pts_share_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2287314069808466,0.006889022205007522,6.753943338242668
M_level_min,PROJ_BUDGET,A2_fga_share_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2287314069808466,0.0068859574196828725,6.7509386467479136
M_level_min,PROJ_BUDGET,A3_starter_rate_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2287314069808466,0.002351583778537093,2.305474292683424
M_level_min,PROJ_BUDGET,A4_vac_x_own,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2287314069808466,0.011280487895404746,11.059301858239946
M_level_min,PROJ_BUDGET,A5_opp_defrtg,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2287314069808466,0.00041434173581317995,0.4062173880521372
M_level_min,PROJ_BUDGET,G01_noise,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.2287314069808466,6.817454678676543e-05,0.06683779096741709
M_level_min,PROJ_ORACLE,A1_pts_share_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.26279613869386864,0.006400017928236036,6.274527380623564
M_level_min,PROJ_ORACLE,A2_fga_share_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.26279613869386864,0.0063794587226832095,6.2543712967482445
M_level_min,PROJ_ORACLE,A3_starter_rate_prior,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.26279613869386864,0.0021040159505546874,2.0627607358379287
M_level_min,PROJ_ORACLE,A4_vac_x_own,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.26279613869386864,0.01092204567819494,10.70788791979896
M_level_min,PROJ_ORACLE,A5_opp_defrtg,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.26279613869386864,0.000558752570041992,0.5477966372960706
M_level_min,PROJ_ORACLE,G01_noise,DECISION x CLEAN_2023_24,3167,132506.76970090868,0.26279613869386864,7.97286302549503e-05,0.07816532377936303
S_share_min,RAW,A1_pts_share_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.23924495573477012,0.0025723353027179434,2.5218973556058266
S_share_min,RAW,A2_fga_share_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.23924495573477012,0.0024354109766095604,2.387657820205451
S_share_min,RAW,A3_starter_rate_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.23924495573477012,0.0004885248668013479,0.47894594784445865
S_share_min,RAW,A4_vac_x_own,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.23924495573477012,0.005969414426950488,5.852367085245576
S_share_min,RAW,A5_opp_defrtg,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.23924495573477012,0.00033410121461930194,0.3275502104110803
S_share_min,RAW,G01_noise,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.23924495573477012,4.101559198553414e-05,0.040211364691700134
S_share_min,PROJ_BUDGET,A1_pts_share_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,0.005299320201503897,5.195411962258722
S_share_min,PROJ_BUDGET,A2_fga_share_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,0.0053273316568593,5.22287417339147
S_share_min,PROJ_BUDGET,A3_starter_rate_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,0.0016485988404343374,1.6162733729748404
S_share_min,PROJ_BUDGET,A4_vac_x_own,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,0.012116018517534275,11.878449526994386
S_share_min,PROJ_BUDGET,A5_opp_defrtg,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,0.0006910490800072092,0.6774990980462835
S_share_min,PROJ_BUDGET,G01_noise,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,8.170275311507796e-05,0.08010073834811564
S_share_min,PROJ_ORACLE,A1_pts_share_prior,DECISION x CLEAN_2023_24,3167,3.163535498446242,0.24850342600830666,0.005299320201503897,5.195411962258722
