response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.2103273764054997,-0.018404030575346838,44.63959392387823,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A4_vac_x_own,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.24549168589069215,-0.017304452803176572,44.63959392387823,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.227319456785391,-0.0017958306755508494,-0.08347051133302386,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.22790668985212492,-0.0008247171287215916,-0.08347051133302386,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.2618532394455846,-0.0009428992482841215,-0.08347051133302386,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.22730292053012302,-0.0018123669308188492,-0.08347287517770999,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.22786108565033236,-0.000870321330514135,-0.08347287517770999,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,A5_opp_defrtg,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.26180971565556377,-0.0009864230383049564,-0.08347287517770999,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,G01_noise,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.22871474097402766,-0.00040054648691417266,0.026577682618202654,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,G01_noise,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.22838706910943074,-0.000344337871415831,0.026577682618202654,-
