response,population,row_set,projection,n,n_blocks,sst,r2,mae,mean_tg_sum
M_level_min,DECISION,n_prior>=8 & prior5_minutes>=24,RAW,3167,764,132506.76970090868,0.22833762444731287,4.328700351641795,123.54324900471306
M_level_min,DECISION,n_prior>=8 & prior5_minutes>=24,PROJ_BUDGET,3167,764,132506.76970090868,0.25965600523046684,4.258072193084761,122.52499570380947
M_level_min,DECISION,n_prior>=8 & prior5_minutes>=24,PROJ_ORACLE,3167,764,132506.76970090868,0.28586302637122796,4.180088197472524,123.1421988470423
M_level_min,ALL_APPEARED,all appeared,RAW,9056,960,1065787.3907900227,0.6434689644554468,5.032434079083866,201.55114744239077
M_level_min,ALL_APPEARED,all appeared,PROJ_BUDGET,9056,960,1065787.3907900227,0.6634885872984876,4.934682894238355,200.0
M_level_min,ALL_APPEARED,all appeared,PROJ_ORACLE,9056,960,1065787.3907900227,0.6680450145773364,4.900835059785754,201.0445486111111
S_share_min,DECISION,n_prior>=8 & prior5_minutes>=24,RAW,3167,764,3.163535498446242,0.2382307775722471,0.021054275604463546,0.6147413342432246
S_share_min,DECISION,n_prior>=8 & prior5_minutes>=24,PROJ_BUDGET,3167,764,3.163535498446242,0.26168220201480463,0.02078233625745603,0.6124102930716186
S_share_min,DECISION,n_prior>=8 & prior5_minutes>=24,PROJ_ORACLE,3167,764,3.163535498446242,0.26168220201480463,0.02078233625745603,0.6124102930716186
S_share_min,ALL_APPEARED,all appeared,RAW,9056,960,26.173329807326834,0.6474838775799796,0.024836205520137284,1.0033029852761581
S_share_min,ALL_APPEARED,all appeared,PROJ_BUDGET,9056,960,26.173329807326834,0.6667138256035905,0.02437421592347701,1.0
S_share_min,ALL_APPEARED,all appeared,PROJ_ORACLE,9056,960,26.173329807326834,0.6667138256035905,0.02437421592347701,1.0
