response,row_set,candidate,arm,projection,z,p_familywise,n_family,n_draws
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,FROZEN,RAW,5.099071407143812,0.0009995002498750624,5,2000
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,4.797364203292675,0.0009995002498750624,5,2000
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,0.4521246320247283,0.6696651674162919,5,2000
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,1.2462991034279522,0.2273863068465767,5,2000
M_level_min,DECISION x CLEAN_2023_24,G01_noise,FROZEN,RAW,-0.25574395013670465,0.9700149925037481,5,2000
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,UNFROZEN,RAW,6.775474785703639,0.0004997501249375312,5,2000
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,6.385093825001436,0.0004997501249375312,5,2000
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,0.4524916781444912,0.6691654172913544,5,2000
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,0.45985188494175827,0.6596701649175413,5,2000
M_level_min,DECISION x CLEAN_2023_24,G01_noise,UNFROZEN,RAW,-0.25022898014694095,0.9695152423788106,5,2000
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,FROZEN,PROJ_BUDGET,28.485264157041673,0.0004997501249375312,5,2000
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ_BUDGET,27.649734766529654,0.0004997501249375312,5,2000
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,8.743320001219153,0.0004997501249375312,5,2000
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ_BUDGET,3.5422435148466604,0.0009995002498750624,5,2000
M_level_min,DECISION x CLEAN_2023_24,G01_noise,FROZEN,PROJ_BUDGET,-0.21165609268718455,0.968015992003998,5,2000
M_level_min,DECISION x CLEAN_2023_24,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,-4.918116966395303,1.0,5,2000
M_level_min,DECISION x CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,-4.106787556239909,1.0,5,2000
M_level_min,DECISION x CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,2.4336774452776226,0.014992503748125937,5,2000
M_level_min,DECISION x CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,-5.898240298061734,1.0,5,2000
M_level_min,DECISION x CLEAN_2023_24,G01_noise,UNFROZEN,PROJ_BUDGET,-0.022205455588633113,0.9375312343828086,5,2000
