response,candidate,arm,projection,observed,placebo_mean,placebo_max,placebo_min,n_placebo
M_level_min,A1_pts_share_prior,UNFROZEN,RAW,0.00450139383337435,-0.0002567463999111611,0.004079432659477007,-0.003526103725178562,200
M_level_min,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,-0.0054559461130306575,-0.0009330386828555647,0.001448299569918536,-0.00981929242358637,200
M_level_min,A4_vac_x_own,UNFROZEN,RAW,0.0008767526388242213,0.0031338292716305725,0.008649265145540218,-0.0033322216546209284,200
M_level_min,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,-0.018404030575346838,-0.001044739968394118,0.0033148270763250338,-0.00851236755998825,200
