response,candidate,arm,projection,eval_2023,eval_2024,disclosed_2022
M_level_min,A1_pts_share_prior,FROZEN,RAW,0.004055279467110714,0.002702562498103493,0.0037875863120541485
M_level_min,A1_pts_share_prior,FROZEN,PROJ_BUDGET,0.02574246883091712,0.016657095639474845,0.031059744182155673
M_level_min,A1_pts_share_prior,UNFROZEN,RAW,0.0034175766932774258,0.005557130703308998,0.00557028031663225
M_level_min,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,-0.005239912664866672,-0.005673174365117623,-0.009308495387650748
M_level_min,A2_fga_share_prior,FROZEN,RAW,0.003743070920738103,0.0025623904486542317,0.003860953142668262
M_level_min,A2_fga_share_prior,FROZEN,PROJ_BUDGET,0.024498536816150718,0.016619025563011924,0.029310839725365745
M_level_min,A2_fga_share_prior,UNFROZEN,RAW,0.00306594676221231,0.005322904434754836,0.005840510934465266
M_level_min,A2_fga_share_prior,UNFROZEN,PROJ_BUDGET,-0.005395995915964786,-0.004037945893448338,-0.007943756933460343
M_level_min,A3_starter_rate_prior,FROZEN,RAW,0.0003609878622405347,-2.5877005431868835e-05,0.002180241524748519
M_level_min,A3_starter_rate_prior,FROZEN,PROJ_BUDGET,0.0037531372154097843,0.006387769076196201,0.0236244177818551
M_level_min,A3_starter_rate_prior,UNFROZEN,RAW,0.00022317327653010522,0.00010311028117016273,0.002865228114224371
M_level_min,A3_starter_rate_prior,UNFROZEN,PROJ_BUDGET,0.0011662532496189003,0.001564602490164273,0.010041186694490771
M_level_min,A4_vac_x_own,FROZEN,RAW,0.00641841400423342,2.4787931266750816e-06,0.00627129466441153
M_level_min,A4_vac_x_own,FROZEN,PROJ_BUDGET,0.01833995000061625,0.0061405406792097465,0.02270277358247149
M_level_min,A4_vac_x_own,UNFROZEN,RAW,0.0017952489323426754,-1.09567915600024e-05,0.007318337673533443
M_level_min,A4_vac_x_own,UNFROZEN,PROJ_BUDGET,-0.028942655400498462,-0.00823107961453787,-0.03600802280207536
M_level_min,A5_opp_defrtg,FROZEN,RAW,0.001832021288634049,-0.005309916538534561,0.0032407904508536954
M_level_min,A5_opp_defrtg,FROZEN,PROJ_BUDGET,0.00010961019922039909,-0.0017302844684118058,-0.0004605305442414618
M_level_min,A5_opp_defrtg,UNFROZEN,RAW,0.0018063741880867273,-0.005317659012755957,0.0032738787217578675
M_level_min,A5_opp_defrtg,UNFROZEN,PROJ_BUDGET,-0.00026783459839677576,-0.0014547669717834516,-0.0025340568222280454
M_level_min,G01_noise,FROZEN,RAW,-0.00020259583501311122,-0.0005927403663217099,-0.0014953203377747906
M_level_min,G01_noise,FROZEN,PROJ_BUDGET,-0.0001483986175258007,-0.0005345011673663753,-0.0017910481713079584
M_level_min,G01_noise,UNFROZEN,RAW,-0.00020380018536791041,-0.0005941260433748608,-0.0015016060180898516
M_level_min,G01_noise,UNFROZEN,PROJ_BUDGET,-0.0001671385132416017,-0.0004623802647944896,-0.0014223122119346994
