tg,season,freed,n_est,n_abs,n_rem,rem_base5_sum,realised_rem_min,realised_gain,bucket
1022300004|1611661317,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300009|1611661317,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300013|1611661317,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300029|1611661317,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300039|1611661317,2023,0.0,7,0,7,175.23888888888888,146.96666666666667,-28.27222222222221,none
1022300042|1611661317,2023,0.0,8,0,8,201.15,174.68333333333334,-26.46666666666667,none
1022300049|1611661317,2023,24.013333333333335,9,1,8,182.5711111111111,193.86666666666667,11.29555555555558,15-30
1022300054|1611661317,2023,0.0,10,0,10,209.78972222222222,183.9166666666667,-25.87305555555551,none
1022300059|1611661317,2023,64.07333333333334,11,2,9,157.14555555555557,200.0,42.854444444444425,45+
1022300062|1611661317,2023,64.07333333333334,11,2,9,156.52166666666668,200.0,43.478333333333325,45+
1022300070|1611661317,2023,78.22666666666667,11,3,8,149.88333333333333,189.25,39.366666666666674,45+
1022300077|1611661317,2023,19.763333333333332,11,2,9,215.29666666666668,179.85,-35.44666666666669,15-30
1022300084|1611661317,2023,65.36333333333333,11,4,7,173.56,182.75,9.189999999999998,45+
1022300088|1611661317,2023,34.73,11,3,8,201.62666666666667,181.48333333333335,-20.143333333333317,30-45
1022300093|1611661317,2023,32.24333333333333,11,2,9,201.38,187.48333333333332,-13.896666666666675,30-45
1022300098|1611661317,2023,22.476666666666667,12,2,10,227.17666666666668,200.0,-27.176666666666677,15-30
1022300106|1611661317,2023,23.99666666666667,11,1,10,212.43,200.0,-12.430000000000007,15-30
1022300110|1611661317,2023,30.855833333333337,11,2,9,201.08333333333334,200.0,-1.0833333333333428,30-45
1022300114|1611661317,2023,0.0,11,0,11,231.7625,199.99999999999997,-31.762500000000017,none
1022300121|1611661317,2023,12.883333333333335,11,1,10,211.28333333333333,200.00000000000003,-11.283333333333303,0-15
1022300126|1611661317,2023,39.473333333333336,11,2,9,181.69333333333336,198.61666666666667,16.923333333333318,30-45
