candidate,entity,var_share_between
A01_dist_mean,player_id+season,0.9649545326398211
A02_share_lt5ft,player_id+season,0.94581704636297
A03_share_restricted,player_id+season,0.9356661011237618
A04_share_paint,player_id+season,0.957787089804431
A05_share_midrange,player_id+season,0.9085772835749911
A06_share_corner3,player_id+season,0.845639309842804
A07_share_abovebreak3,player_id+season,0.9544164481818007
A08_share_3pa,player_id+season,0.9629704360035573
A09_share_catch_action,player_id+season,0.9288403193548276
A10_share_selfcreate_action,player_id+season,0.9345816063329274
A11_share_layup_action,player_id+season,0.9459761235190779
A12_share_plain_jumpshot,player_id+season,0.9191725144138279
B01_dist_t5,player_id+season,0.8584118920701728
B02_lt5ft_t5,player_id+season,0.7989006845487743
B03_restricted_t5,player_id+season,0.7646217129387901
B04_dist_trend,player_id+season,0.18993018228066402
B05_lt5ft_trend,player_id+season,0.18569251752489052
B06_3pa_trend,player_id+season,0.18141454582123046
C01_assisted_share,player_id+season,0.8629239898795001
C02_assisted_share_3pt,player_id+season,0.8290922273999609
C03_assisted_share_2pt,player_id+season,0.8501647296014027
C04_assisted_share_t5,player_id+season,0.557549859178622
C05_assisted_trend,player_id+season,0.16003016272450646
D01_xefg_zone,player_id+season,0.8547392720294624
D02_xpps_zone,player_id+season,0.8547392720294624
D03_xefg_action,player_id+season,0.8781601632248601
D04_xefg_minus_own,player_id+season,0.6815640086559063
E01_opp_dist_conceded,opp_team_id+season,0.8109240031236415
E02_opp_lt5ft_conceded,opp_team_id+season,0.828129061453844
E03_opp_restricted_conceded,opp_team_id+season,0.8599586246049055
E04_opp_xefg_conceded,opp_team_id+season,0.659930484197857
E05_opp_3pa_conceded,opp_team_id+season,0.7650274404217386
E06_opp_assisted_conceded,opp_team_id+season,0.6536159624219748
F01_dist_x_oppdist,player_id+season,0.9422705058732459
F02_lt5ft_x_opplt5ft,player_id+season,0.904753360159773
F03_xefg_x_oppxefg,player_id+season,0.7370826463028338
F04_3pa_x_opp3pa,player_id+season,0.9380771487603216
G01_noise,player_id+season,0.042213013223938264
G02_ref_echo,player_id+season,0.9142891800623667
