candidate,family,outcome,n,dR2_base_single_ref,p_base_single_ref,pfw_base_single_ref,dR2_base_full_ref,p_base_full_ref,z_base_full_ref,survival_ratio,p_familywise_full_ref
F02_lt5ft_x_opplt5ft,F_interaction,ts,13984,0.0024102038877049,0.0016638935108153,0.0016638935108153,0.0027573970074404974,0.0016638935108153079,18.829748811187947,1.1440513483140256,0.0016638935108153079
A03_share_restricted,A_own_profile,ts,13984,0.0022808695628391,0.0016638935108153,0.0016638935108153,0.002685957772209734,0.0016638935108153079,16.17044870973621,1.1776025319336556,0.0016638935108153079
A02_share_lt5ft,A_own_profile,ts,13984,0.0023369132235725,0.0016638935108153,0.0016638935108153,0.0026837616827710803,0.0016638935108153079,22.775624606051696,1.1484216254587085,0.0016638935108153079
D03_xefg_action,D_quality_index,ts,13984,0.0011917715590693,0.0016638935108153,0.0266222961730449,0.0025351956066197406,0.0016638935108153079,19.186774016662884,2.1272496287791696,0.0016638935108153079
A11_share_layup_action,A_own_profile,ts,13984,0.0021512071609099,0.0016638935108153,0.0016638935108153,0.002527242961791711,0.0016638935108153079,18.69318395914641,1.174802226263861,0.0016638935108153079
B02_lt5ft_t5,B_form_trend,ts,13979,0.0020981911797412,0.0016638935108153,0.0016638935108153,0.0024051841716075757,0.0016638935108153079,17.405110745539535,1.1463131648014275,0.0016638935108153079
D03_xefg_action,D_quality_index,efg,13984,0.0017577569865257,0.0016638935108153,0.0016638935108153,0.002385326367552643,0.0016638935108153079,18.02064095354003,1.3570285231904367,0.0016638935108153079
B03_restricted_t5,B_form_trend,ts,13979,0.0019581220874614,0.0016638935108153,0.0016638935108153,0.0023251123834666034,0.0016638935108153079,16.134754662459397,1.1874195170746409,0.0016638935108153079
F03_xefg_x_oppxefg,F_interaction,ts,13984,0.0011923607393721,0.0016638935108153,0.0049916805324459,0.0022444674455308128,0.0016638935108153079,20.53261073578835,1.8823728184079214,0.0016638935108153079
D04_xefg_minus_own,D_quality_index,ts,13984,0.0018920637778469,0.0016638935108153,0.0016638935108153,0.002228178869183125,0.0016638935108153079,14.071019038218537,1.1776446942601015,0.0016638935108153079
D01_xefg_zone,D_quality_index,ts,13984,0.0011065632353576,0.0016638935108153,0.08153078202995,0.002228178869183123,0.0016638935108153079,14.918615873304434,2.0136028362292904,0.0016638935108153079
D02_xpps_zone,D_quality_index,ts,13984,0.0011065632353576,0.0033277870216306,0.0798668885191347,0.002228178869183123,0.0016638935108153079,15.54781067432888,2.0136028362292904,0.0016638935108153079
F02_lt5ft_x_opplt5ft,F_interaction,efg,13984,0.0021373037937667,0.0016638935108153,0.0016638935108153,0.0020994356546240357,0.0016638935108153079,14.402896365488491,0.9822822851608161,0.0016638935108153079
D04_xefg_minus_own,D_quality_index,efg,13984,0.0015900792492039,0.0016638935108153,0.0066555740432612,0.00209886612333207,0.0016638935108153079,14.125726283286005,1.3199757964157464,0.0016638935108153079
D01_xefg_zone,D_quality_index,efg,13984,0.0015900792492039,0.0016638935108153,0.0016638935108153,0.0020988661233320677,0.0016638935108153079,15.165227220759213,1.3199757964157448,0.0016638935108153079
D02_xpps_zone,D_quality_index,efg,13984,0.0015900792492039,0.0016638935108153,0.0016638935108153,0.0020988661233320677,0.0016638935108153079,15.112311726168864,1.3199757964157448,0.0016638935108153079
A02_share_lt5ft,A_own_profile,efg,13984,0.002124387327917,0.0016638935108153,0.0016638935108153,0.0020846160712444505,0.0016638935108153079,17.352425935109796,0.9812787168564284,0.0016638935108153079
A04_share_paint,A_own_profile,ts,13984,0.0021662536683282,0.0016638935108153,0.0016638935108153,0.00207148711497776,0.0016638935108153079,14.144071496163443,0.9562532519916858,0.0016638935108153079
B01_dist_t5,B_form_trend,ts,13979,0.00219648264584,0.0016638935108153,0.0016638935108153,0.00204840455354592,0.0016638935108153079,14.330459642765867,0.9325839916948441,0.0016638935108153079
F03_xefg_x_oppxefg,F_interaction,efg,13984,0.0015757178167509,0.0016638935108153,0.0016638935108153,0.00202878573361938,0.0016638935108153079,17.976168570828335,1.2875311252129507,0.0016638935108153079
A03_share_restricted,A_own_profile,efg,13984,0.0019922641345902,0.0016638935108153,0.0016638935108153,0.001985981365981277,0.0016638935108153079,11.950586083830672,0.9968464178520106,0.0016638935108153079
A11_share_layup_action,A_own_profile,efg,13984,0.00194906613396,0.0016638935108153,0.0016638935108153,0.0019251190395859616,0.0016638935108153079,14.476570887038998,0.9877135547343465,0.0016638935108153079
A01_dist_mean,A_own_profile,ts,13984,0.0020272584883104,0.0016638935108153,0.0016638935108153,0.0018668431280213801,0.0016638935108153079,14.066320271276268,0.9208707911625436,0.0016638935108153079
B02_lt5ft_t5,B_form_trend,efg,13979,0.001866135682636,0.0016638935108153,0.0016638935108153,0.0018310462484143796,0.0016638935108153079,13.323921701919273,0.9811967401148158,0.0016638935108153079
A10_share_selfcreate_action,A_own_profile,efg,13984,0.0010116646807035,0.0033277870216306,0.108153078202995,0.0018289308800547395,0.0016638935108153079,12.497674048567271,1.8078429690586033,0.0016638935108153079
F01_dist_x_oppdist,F_interaction,ts,13984,0.0018562745023852,0.0016638935108153,0.0016638935108153,0.0017032687503089725,0.0016638935108153079,13.147829351060846,0.9175737468355976,0.0016638935108153079
A09_share_catch_action,A_own_profile,efg,13984,0.0008686148914323,0.0033277870216306,0.1148086522462562,0.0016921368426225253,0.0016638935108153079,13.162618129819945,1.9480863836357687,0.0016638935108153079
B03_restricted_t5,B_form_trend,efg,13979,0.0016686129220112,0.0016638935108153,0.0016638935108153,0.0016734221742189539,0.0016638935108153079,11.697748578880292,1.0028821856431251,0.0016638935108153079
B01_dist_t5,B_form_trend,efg,13979,0.0016797532785407,0.0016638935108153,0.0016638935108153,0.0014581720606915525,0.0016638935108153079,9.824207703346785,0.8680870454727446,0.0066555740432612314
A04_share_paint,A_own_profile,efg,13984,0.0016701631288947,0.0016638935108153,0.0016638935108153,0.0014511764065566679,0.0016638935108153079,9.849334824917324,0.868883033908816,0.0066555740432612314
A10_share_selfcreate_action,A_own_profile,ts,13984,0.0003280644869573,0.0632279534109817,1.0,0.0013530098318886847,0.0016638935108153079,8.988940022045853,4.124219126664536,0.021630615640599003
A01_dist_mean,A_own_profile,efg,13984,0.0015208898043003,0.0016638935108153,0.0016638935108153,0.0012945762186513598,0.0016638935108153079,9.945560895146876,0.851196592278388,0.0066555740432612314
A05_share_midrange,A_own_profile,efg,13984,0.0009708869419947,0.0033277870216306,0.0998336106489184,0.0012650281210504265,0.0016638935108153079,8.953222758596818,1.3029613092245422,0.021630615640599003
